#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.20717     1.20717           0
           2     1.20104      1.2041  0.00216628
           3     1.20116     1.20312  0.00165176
           4     1.21155     1.20523  0.00220545
           5     1.20557      1.2053  0.00176544
           6     1.20396     1.20507  0.00148513
           7     1.20711     1.20536  0.00130102
           8     1.21034     1.20599  0.00127844
           9     1.21534     1.20703   0.0015005
          10     1.20859     1.20718  0.00135862
          11     1.21081     1.20751  0.00127444
          12     1.20833     1.20758  0.00117006
          13     1.21106     1.20785  0.00111026
          14     1.20641     1.20775  0.00103568
          15     1.21003      1.2079 0.000977732
          16     1.21064     1.20807 0.000931483
          17     1.20835     1.20809 0.000876837
          18     1.20708     1.20803 0.000829898
          19     1.21221     1.20825  0.00081482
          20     1.20704     1.20819 0.000776321
