#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -7.51878    -7.51878           0
           2    -7.51231    -7.51555  0.00228792
           3    -7.51269    -7.51459  0.00171252
           4    -7.52315    -7.51673  0.00225387
           5    -7.51682    -7.51675  0.00180316
           6    -7.51525     -7.5165  0.00151988
           7    -7.51802    -7.51672  0.00131818
           8    -7.52112    -7.51727   0.0012631
           9     -7.5275     -7.5184  0.00155232
          10    -7.51915    -7.51848   0.0013989
          11    -7.52256    -7.51885   0.0013201
          12    -7.52001    -7.51895  0.00121361
          13    -7.52311    -7.51927  0.00116172
          14    -7.51813    -7.51919  0.00108156
          15    -7.52026    -7.51926  0.00101181
          16    -7.52179    -7.51942 0.000960911
          17    -7.51985    -7.51944 0.000904727
          18     -7.5175    -7.51933 0.000860899
          19    -7.52438     -7.5196 0.000855516
          20    -7.51927    -7.51958 0.000812899
