#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.948887    0.948887           0
           2    0.944674     0.94678  0.00148966
           3     0.94474      0.9461  0.00113781
           4    0.951927    0.947557  0.00152306
           5    0.947788    0.947603  0.00121915
           6    0.946673    0.947448  0.00102577
           7    0.948727    0.947631 0.000895353
           8    0.951065     0.94806 0.000880326
           9    0.954385    0.948763  0.00102538
          10     0.94988    0.948875 0.000928911
          11    0.951348    0.949099  0.00087126
          12    0.949599    0.949141  0.00079965
          13    0.951464     0.94932 0.000757842
          14    0.948279    0.949245 0.000707345
          15    0.950939    0.949358 0.000669136
          16    0.951472     0.94949 0.000640221
          17    0.949742    0.949505 0.000602732
          18    0.949021    0.949478 0.000569848
          19    0.952396    0.949632 0.000560169
          20    0.948685    0.949585 0.000534158
