#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.804777    0.804777           0
           2    0.800693    0.802735  0.00144419
           3    0.800771     0.80208  0.00110118
           4    0.807699    0.803485   0.0014703
           5    0.803715    0.803531  0.00117696
           6    0.802642    0.803383 0.000990087
           7    0.804737    0.803576 0.000867346
           8    0.806893    0.803991 0.000852292
           9    0.810227    0.804684  0.00100034
          10    0.805729    0.804788 0.000905747
          11    0.807205    0.805008 0.000849625
          12    0.805553    0.805053 0.000780037
          13    0.807374    0.805232 0.000740175
          14    0.804275    0.805164 0.000690456
          15    0.806684    0.805265 0.000651821
          16    0.807091    0.805379 0.000620988
          17    0.805567     0.80539 0.000584558
          18     0.80472    0.805353 0.000553265
          19    0.808138    0.805499 0.000543213
          20    0.804693    0.805459 0.000517547
