#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -6.31162    -6.31162           0
           2    -6.31127    -6.31144 0.000121637
           3    -6.31153    -6.31147 8.42987e-05
           4     -6.3116     -6.3115 6.89308e-05
           5    -6.31124    -6.31145 7.22095e-05
           6    -6.31129    -6.31142 6.53043e-05
           7    -6.31091    -6.31135  8.7796e-05
           8    -6.31078    -6.31128 0.000101895
           9    -6.31216    -6.31138 0.000129182
          10    -6.31056     -6.3113 0.000139771
          11    -6.31176    -6.31134 0.000133189
          12    -6.31168    -6.31137 0.000125045
          13    -6.31205    -6.31142 0.000125946
          14    -6.31172    -6.31144 0.000118795
          15    -6.31023    -6.31136 0.000135462
          16    -6.31116    -6.31135 0.000127583
          17     -6.3115    -6.31136 0.000120395
          18    -6.31041     -6.3113 0.000124546
          19    -6.31217    -6.31135 0.000126041
          20    -6.31223    -6.31139 0.000127188
