      T:         <H>:          err:          mu:           sigma:        acc?
      10.000      -0.029       0.006       1.061       0.489           1
      10.000      -0.059       0.006       1.013       0.482           1
      10.000      -0.049       0.008       0.981       0.465           1
      10.000      -0.044       0.010       0.952       0.455           1
      10.000       0.092       0.010       0.978       0.439           1
      10.000       0.132       0.010       0.955       0.429           1
      10.000       0.197       0.012       0.954       0.418           1
      10.000       0.262       0.011       0.948       0.411           1
      10.000       0.128       0.011       0.920       0.426           1
      10.000       0.126       0.011       0.878       0.422           1
      10.000       0.020       0.010       0.892       0.440           1
      10.000       0.006       0.009       0.920       0.446           1
      10.000      -0.100       0.007       0.909       0.465           1
      10.000      -0.005       0.009       0.950       0.453           1
      10.000      -0.004       0.010       0.936       0.450           1
      10.000       0.095       0.009       0.951       0.432           1
      10.000       0.067       0.008       0.996       0.447           1
      10.000       0.131       0.008       0.979       0.432           1
      10.000       0.124       0.011       0.947       0.429           1
      10.000       0.092       0.010       0.906       0.433           1
      10.000       0.129       0.011       0.934       0.425           1
      10.000       0.089       0.010       0.886       0.431           1
      10.000       0.077       0.009       0.919       0.433           1
      10.000       0.187       0.010       0.956       0.418           1
      10.000       0.306       0.011       0.976       0.403           1
      10.000       0.212       0.011       0.985       0.416           1
      10.000       0.189       0.010       1.007       0.424           1
      10.000       0.168       0.009       1.032       0.431           1
      10.000       0.260       0.011       1.053       0.417           1
      10.000       0.329       0.013       1.067       0.403           1
      10.000       0.349       0.012       1.051       0.399           1
      10.000       0.411       0.015       1.074       0.395           1
      10.000       0.358       0.014       1.025       0.396           1
      10.000       0.410       0.014       1.057       0.390           1
      10.000       0.580       0.015       1.083       0.375           1
      10.000       0.431       0.013       1.103       0.393           1
      10.000       0.377       0.013       1.081       0.399           1
      10.000       0.375       0.011       1.088       0.403           1
      10.000       0.306       0.011       1.110       0.418           1
      10.000       0.248       0.010       1.112       0.429           1
      10.000       0.267       0.009       1.115       0.426           1
      10.000       0.326       0.009       1.127       0.415           1
      10.000       0.197       0.010       1.101       0.433           1
      10.000       0.184       0.009       1.056       0.432           1
      10.000       0.144       0.009       1.083       0.443           1
      10.000       0.044       0.008       1.034       0.455           1
      10.000       0.103       0.008       1.081       0.457           1
      10.000       0.188       0.009       1.122       0.450           1
      10.000       0.321       0.008       1.168       0.434           1
      10.000       0.317       0.009       1.149       0.427           1
      10.000       0.461       0.010       1.186       0.411           1
      10.000       0.519       0.010       1.221       0.414           1
      10.000       0.475       0.009       1.213       0.423           1
      10.000       0.391       0.009       1.194       0.431           1
      10.000       0.456       0.012       1.191       0.412           1
      10.000       0.375       0.010       1.173       0.426           1
      10.000       0.360       0.008       1.192       0.439           1
      10.000       0.518       0.010       1.234       0.424           1
      10.000       0.645       0.010       1.264       0.411           1
      10.000       0.452       0.009       1.215       0.425           1
      10.000       0.559       0.009       1.259       0.432           1
      10.000       0.637       0.010       1.293       0.449           1
      10.000       0.719       0.010       1.309       0.439           1
      10.000       0.646       0.009       1.283       0.434           1
      10.000       0.568       0.009       1.238       0.417           1
      10.000       0.533       0.008       1.246       0.427           1
      10.000       0.429       0.009       1.222       0.441           1
      10.000       0.444       0.008       1.240       0.459           1
      10.000       0.331       0.008       1.203       0.462           1
      10.000       0.430       0.010       1.246       0.480           1
      10.000       0.552       0.011       1.281       0.490           1
      10.000       0.637       0.012       1.303       0.481           1
      10.000       0.574       0.011       1.289       0.499           1
      10.000       0.613       0.011       1.305       0.504           1
      10.000       0.851       0.013       1.348       0.486           1
      10.000       0.871       0.013       1.350       0.473           1
      10.000       0.714       0.012       1.317       0.465           1
      10.000       0.913       0.013       1.366       0.474           1
      10.000       0.846       0.012       1.349       0.483           1
      10.000       0.620       0.011       1.301       0.488           1
      10.000       0.815       0.013       1.339       0.491           1
      10.000       0.905       0.014       1.361       0.476           1
      10.000       0.774       0.011       1.329       0.461           1
      10.000       0.597       0.011       1.294       0.470           1
      10.000       0.699       0.010       1.316       0.476           1
      10.000       0.775       0.012       1.339       0.489           1
      10.000       0.802       0.013       1.346       0.483           1
      10.000       0.885       0.013       1.355       0.483           1
      10.000       0.704       0.011       1.317       0.464           1
      10.000       0.920       0.009       1.356       0.450           1
       9.500       0.731       0.011       1.314       0.443           1
       9.500       0.722       0.012       1.303       0.425           1
       9.500       0.683       0.010       1.275       0.413           1
       9.500       0.501       0.010       1.228       0.420           1
       9.500       0.452       0.009       1.215       0.433           1
       9.500       0.381       0.007       1.207       0.445           1
       9.500       0.511       0.009       1.253       0.447           1
       9.500       0.527       0.011       1.245       0.429           1
       9.500       0.408       0.008       1.222       0.448           1
       9.500       0.472       0.009       1.252       0.462           1
       9.500       0.456       0.009       1.252       0.475           1
       9.500       0.469       0.012       1.260       0.490           1
       9.500       0.332       0.009       1.213       0.472           1
       9.500       0.387       0.008       1.228       0.474           1
       9.500       0.329       0.009       1.218       0.478           1
       9.500       0.358       0.008       1.216       0.466           1
       9.500       0.264       0.009       1.193       0.483           1
       9.500       0.161       0.008       1.171       0.502           1
       9.500       0.259       0.008       1.198       0.486           1
       9.500       0.396       0.011       1.247       0.498           1
       9.500       0.293       0.009       1.209       0.503           1
       9.500       0.295       0.008       1.207       0.485           1
       9.500       0.170       0.008       1.165       0.490           1
       9.500       0.116       0.006       1.155       0.508           1
       9.500       0.177       0.008       1.169       0.498           1
       9.500       0.199       0.007       1.176       0.489           1
       9.500       0.110       0.008       1.150       0.503           1
       9.500       0.140       0.007       1.153       0.489           1
       9.500       0.113       0.008       1.111       0.470           1
       9.500       0.122       0.007       1.116       0.465           1
       9.500      -0.011       0.007       1.067       0.484           1
       9.500      -0.107       0.006       1.022       0.494           1
       9.500      -0.073       0.006       1.048       0.498           1
       9.500      -0.094       0.007       0.999       0.486           1
       9.500      -0.142       0.005       1.006       0.505           1
       9.500      -0.195       0.006       0.985       0.511           1
       9.500      -0.170       0.005       1.032       0.530           1
       9.500      -0.120       0.005       1.050       0.527           1
       9.500      -0.222       0.006       1.002       0.538           1
       9.500      -0.277       0.004       0.958       0.536           1
       9.500      -0.323       0.004       0.918       0.538           1
       9.500      -0.352       0.004       0.917       0.553           1
       9.500      -0.322       0.004       0.948       0.550           1
       9.500      -0.325       0.004       0.944       0.552           1
       9.500      -0.360       0.003       0.894       0.546           1
       9.500      -0.397       0.003       0.858       0.555           1
       9.500      -0.378       0.003       0.881       0.554           1
       9.500      -0.356       0.004       0.920       0.555           1
       9.500      -0.381       0.004       0.907       0.574           1
       9.500      -0.384       0.004       0.872       0.556           1
       9.500      -0.402       0.003       0.860       0.561           1
       9.500      -0.400       0.003       0.880       0.571           1
       9.500      -0.373       0.004       0.921       0.577           1
       9.500      -0.403       0.003       0.898       0.580           1
       9.500      -0.403       0.003       0.863       0.567           1
       9.500      -0.409       0.003       0.881       0.584           1
       9.500      -0.434       0.003       0.844       0.602           1
       9.500      -0.433       0.003       0.850       0.604           1
       9.500      -0.410       0.003       0.897       0.602           1
       9.500      -0.437       0.003       0.850       0.614           1
       9.500      -0.438       0.003       0.850       0.613           1
       9.500      -0.431       0.003       0.850       0.597           1
       9.500      -0.429       0.004       0.868       0.616           1
       9.500      -0.440       0.003       0.822       0.599           1
       9.500      -0.436       0.003       0.847       0.602           1
       9.500      -0.440       0.004       0.839       0.622           1
       9.500      -0.433       0.007       0.824       0.617           1
       9.500      -0.436       0.003       0.775       0.621           1
       9.500      -0.439       0.003       0.777       0.631           1
       9.500      -0.428       0.003       0.756       0.649           1
       9.500      -0.419       0.003       0.723       0.636           1
