      T:         <H>:          err:          mu:           sigma:        acc?
    1.400000    0.977829    0.014951    1.242975    0.349702           1
    1.400000    1.011462    0.013217    1.242975    0.349702           0
    1.400000    1.011462    0.013217    1.242975    0.349702           0
    1.400000    1.011462    0.013217    1.242975    0.349702           0
    1.400000    1.011462    0.013217    1.242975    0.349702           0
    1.400000    0.312288    0.016744    1.206974    0.582808           1
    1.400000   -0.318034    0.011439    0.818473    0.764631           1
    1.400000   -0.348849    0.009177    0.791932    0.754985           1
    1.400000   -0.360340    0.007796    0.791932    0.754985           0
    1.400000   -0.360340    0.007796    0.791932    0.754985           0
    1.400000   -0.293542    0.006362    0.984106    0.626470           1
    1.400000    0.025483    0.028955    0.996649    0.804370           1
    1.400000   -0.040584    0.021905    0.956444    0.829821           1
    1.400000   -0.027201    0.012941    1.106759    0.616425           1
    1.400000   -0.042289    0.011086    1.106759    0.616425           0
    1.400000   -0.042289    0.011086    1.106759    0.616425           0
    1.400000   -0.413031    0.005381    0.787359    0.683685           1
    1.400000    0.207555    0.007398    1.181302    0.492200           1
    1.400000    0.216255    0.007435    1.181302    0.492200           0
    1.400000   -0.054832    0.006171    1.041731    0.487439           1
    1.400000   -0.046729    0.005912    1.041731    0.487439           0
    1.400000    0.011132    0.008619    0.959576    0.449200           1
    1.400000    0.016431    0.008159    0.959576    0.449200           0
    1.400000   -0.205616    0.007533    1.041986    0.604678           1
    1.400000   -0.215719    0.004468    0.572993    0.518134           1
    1.400000    0.015790    0.006202    0.331870    0.636397           1
    1.400000    0.717188    0.011066   -0.150316    0.479171           1
    1.400000    1.127586    0.024097    0.344399    0.281646           1
    1.400000    1.113800    0.020427    0.344399    0.281646           0
    1.400000    0.002568    0.006231    0.454685    0.498616           1
    1.400000    0.016490    0.005938    0.085396    0.723165           1
    1.400000   -0.260038    0.006998   -0.339570    0.958553           1
    1.400000   -0.191871    0.019184   -0.138682    1.143350           1
    1.400000   -0.239543    0.008321   -0.221352    0.947527           1
    1.400000   -0.209147    0.019896    0.081912    1.089118           1
    1.400000   -0.055554    0.027078   -0.335934    1.164602           1
    1.400000   -0.241543    0.008324    0.118060    1.037120           1
    1.400000    0.002601    0.027912    0.403987    1.169297           1
    1.400000    1.427181    0.114887    0.551096    1.423408           1
    1.400000    1.141617    0.098787    0.543474    1.408695           1
    1.400000    0.429268    0.043832    0.614928    1.235828           1
    1.400000    3.798559    0.195306    1.100995    1.328877           1
    1.400000    3.410449    0.142638    1.100995    1.328877           0
    1.400000    1.496438    0.107301    0.741873    1.380349           1
    1.400000    1.621745    0.135848    0.741873    1.380349           0
    1.400000    1.621745    0.135848    0.741873    1.380349           0
    1.400000    0.170795    0.042578    0.610187    1.140510           1
    1.400000    0.944093    0.075715    0.797912    1.209726           1
    1.400000    0.995296    0.059404    1.075460    0.972519           1
    1.400000    0.881840    0.056991    1.075460    0.972519           0
    1.400000    0.920032    0.058803    1.071302    0.971918           1
    1.400000    0.758879    0.072925    0.720869    1.238848           1
    1.400000    0.120203    0.041375    0.447549    1.209087           1
    1.400000    0.173458    0.036855    0.447549    1.209087           0
    1.400000   -0.246524    0.010562    0.077714    1.022477           1
    1.400000   -0.111733    0.021249   -0.115408    1.175318           1
    1.400000    0.017866    0.032654    0.268431    1.199260           1
    1.400000   -0.034256    0.026067    0.268431    1.199260           0
    1.400000   -0.246626    0.009717   -0.221161    1.045461           1
    1.400000   -0.223773    0.005971   -0.097987    0.921847           1
    1.400000   -0.228334    0.012943    0.017971    1.060742           1
    1.400000    0.558985    0.102348    0.512709    1.258532           1
    1.400000    0.533974    0.085321    0.415981    1.302340           1
    1.400000    0.382147    0.043921    0.415981    1.302340           0
    1.400000    0.422969    0.047136    0.852587    1.068285           1
    1.400000    0.481872    0.045161    0.852587    1.068285           0
    1.400000    0.573284    0.042162    0.734021    1.184363           1
    1.400000   -0.101168    0.021617    0.277770    1.147141           1
    1.400000   -0.197763    0.005190    0.050668    0.884466           1
    1.400000   -0.197811    0.004605    0.050668    0.884466           0
    1.400000   -0.249014    0.005171    0.001449    0.960020           1
    1.400000   -0.043004    0.023459    0.408644    1.137809           1
    1.400000    0.063954    0.027697    0.886359    0.942149           1
    1.400000   -0.251510    0.005527    0.491155    0.759222           1
    1.400000    0.235800    0.008396    0.171418    0.609333           1
    1.400000   -0.182325    0.006435    0.003463    0.855552           1
    1.400000   -0.222197    0.005885    0.181571    0.890023           1
    1.400000   -0.310573    0.006754    0.591959    0.801906           1
    1.400000    0.027138    0.026738    0.675714    1.056975           1
    1.400000    0.725019    0.062151    0.918432    1.064391           1
    1.400000    1.581841    0.074729    1.209120    0.928070           1
    1.400000    1.553601    0.081785    1.209120    0.928070           0
    1.400000    1.553601    0.081785    1.209120    0.928070           0
    1.400000    1.553601    0.081785    1.209120    0.928070           0
    1.400000   -0.100651    0.025037    0.784470    0.903043           1
    1.400000    2.209981    0.130561    1.087727    1.177495           1
    1.400000    2.615520    0.110933    1.079879    1.242461           1
    1.400000    2.790378    0.162921    1.054202    1.275646           1
    1.400000    2.581339    0.140783    1.054202    1.275646           0
    1.400000    2.581339    0.140783    1.054202    1.275646           0
    1.400000    2.166582    0.105888    1.144387    1.127089           1
    1.400000    2.271999    0.119347    1.144387    1.127089           0
    1.400000    2.271999    0.119347    1.144387    1.127089           0
    1.400000    1.817770    0.103912    0.747620    1.411539           1
    1.400000    1.908836    0.105565    0.934744    1.294786           1
    1.400000    5.971759    0.306827    1.220296    1.486765           1
    1.400000    4.958436    0.248580    1.319079    1.250684           1
    1.400000    5.780692    0.311067    1.095627    1.529909           1
    1.400000    5.079272    0.232970    1.095627    1.529909           0
    1.400000    5.079272    0.232970    1.095627    1.529909           0
    1.400000    0.639458    0.052258    0.640506    1.250858           1
    1.400000    0.678929    0.068789    0.640506    1.250858           0
    1.400000    0.678929    0.068789    0.640506    1.250858           0
    1.400000    0.245730    0.045769    0.463601    1.245584           1
    1.400000    0.608612    0.050720    0.828920    1.104314           1
