#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.81377     1.81377           0
           2     1.93891     1.87634   0.0442444
           3     2.03345     1.92871   0.0519452
           4     2.06854     1.96367   0.0493393
           5      2.1043      1.9918    0.046807
           6     2.09733     2.00938   0.0421812
           7      2.0727     2.01843   0.0371126
           8     2.06996     2.02487   0.0330278
           9     2.14861     2.03862   0.0320925
          10     2.18045      2.0528   0.0318635
          11     2.16914     2.06338   0.0306717
          12     2.18348     2.07339   0.0297039
          13     2.17206     2.08098   0.0283722
          14     2.12409     2.08406   0.0265122
          15       2.128     2.08699    0.024906
          16     2.13763     2.09015   0.0235496
          17     2.16234      2.0944    0.022544
          18     2.18509     2.09944   0.0218473
          19     2.17387     2.10335   0.0210458
          20     2.14296     2.10534   0.0200864
