#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1  -0.0461603  -0.0461603           0
           2   -0.171776   -0.108968   0.0444118
           3   -0.266252   -0.161396   0.0520488
           4   -0.301384   -0.196393   0.0494211
           5   -0.337124   -0.224539   0.0468715
           6   -0.330124   -0.242137    0.042234
           7   -0.305592   -0.251202   0.0371607
           8   -0.302909   -0.257665   0.0330729
           9   -0.381562   -0.271431   0.0321357
          10   -0.413372   -0.285625   0.0319032
          11   -0.402105   -0.296215     0.03071
          12   -0.416512   -0.306239   0.0297421
          13   -0.404979   -0.313835   0.0284075
          14   -0.357165    -0.31693   0.0265465
          15    -0.36105   -0.319871   0.0249391
          16   -0.370654   -0.323045   0.0235815
          17   -0.395243   -0.327292   0.0225736
          18   -0.417857   -0.332323    0.021873
          19    -0.40674    -0.33624   0.0210696
          20   -0.375763   -0.338216   0.0201085
