#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0604167   0.0604167           0
           2   0.0645929   0.0625048  0.00147652
           3   0.0677193    0.064243  0.00172715
           4   0.0688549    0.065396  0.00163554
           5   0.0700932   0.0663354  0.00155501
           6   0.0698099   0.0669145  0.00139952
           7   0.0690323    0.067217  0.00123185
           8   0.0689413   0.0674326  0.00109657
           9   0.0715428   0.0678893  0.00106559
          10   0.0725974   0.0683601  0.00105794
          11   0.0722351   0.0687124  0.00101873
          12   0.0726713   0.0690423 0.000985809
          13   0.0724126   0.0693015 0.000943452
          14      0.0707   0.0694014 0.000881335
          15   0.0708584   0.0694985 0.000827914
          16   0.0711591   0.0696023 0.000782647
          17   0.0719951   0.0697431 0.000749158
          18   0.0727179   0.0699083 0.000725539
          19   0.0723718    0.070038 0.000698842
          20   0.0713679   0.0701045 0.000667056
