#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.20918     1.20918           0
           2     1.29261     1.25089   0.0294963
           3     1.35563     1.28581   0.0346301
           4     1.37903     1.30911   0.0328929
           5     1.40287     1.32786   0.0312047
           6     1.39822     1.33959   0.0281208
           7      1.3818     1.34562   0.0247417
           8     1.37998     1.34991   0.0220185
           9     1.43241     1.35908    0.021395
          10     1.45363     1.36854   0.0212423
          11     1.44609     1.37559   0.0204478
          12     1.45566     1.38226   0.0198026
          13     1.44804     1.38732   0.0189148
          14     1.41606     1.38937   0.0176748
          15     1.41867     1.39132    0.016604
          16     1.42508     1.39343   0.0156998
          17     1.44156     1.39627   0.0150293
          18     1.45673     1.39962   0.0145649
          19     1.44925     1.40224   0.0140305
          20     1.42864     1.40356    0.013391
