#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.76761     1.76761           0
           2     1.76714     1.76737 0.000167343
           3     1.76719     1.76731 0.000121806
           4     1.76716     1.76728 9.72515e-05
           5     1.76718     1.76726 7.96873e-05
           6      1.7672     1.76725 6.69055e-05
           7     1.76711     1.76723 6.00827e-05
           8     1.76705     1.76721 5.63733e-05
           9     1.76705     1.76719 5.26423e-05
          10     1.76708     1.76718 4.85517e-05
          11     1.76703     1.76716 4.59566e-05
          12     1.76697     1.76715 4.48281e-05
          13     1.76708     1.76714 4.16661e-05
          14     1.76692     1.76713 4.15958e-05
          15     1.76695     1.76712 4.04058e-05
          16     1.76697     1.76711 3.88658e-05
          17      1.7671     1.76711 3.65855e-05
          18     1.76724     1.76711 3.52751e-05
          19     1.76713     1.76711 3.34295e-05
          20      1.7672     1.76712  3.2002e-05
