#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     0.94605     0.94605           0
           2     0.86954    0.907795   0.0270504
           3    0.833347    0.882979   0.0271249
           4     0.88283    0.882942   0.0203437
           5    0.832112    0.872776   0.0186427
           6    0.817778    0.863609   0.0176458
           7    0.838609    0.860038   0.0154822
           8     0.84154    0.857726   0.0137185
           9    0.833006    0.854979   0.0124661
          10    0.812721    0.850753   0.0119142
          11    0.835144    0.849334   0.0109153
          12    0.816854    0.846628   0.0103358
          13    0.856361    0.847376  0.00956784
          14    0.849179    0.847505  0.00888529
          15    0.838847    0.846928  0.00831166
          16    0.865852    0.848111  0.00787589
          17    0.853842    0.848448  0.00741982
          18    0.834967    0.847699   0.0070453
          19    0.841203    0.847357  0.00668279
          20    0.834756    0.846727  0.00637828
