#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.64888    -5.64888           0
           2    -5.57434    -5.61161   0.0263561
           3    -5.53617    -5.58646   0.0270251
           4    -5.58698    -5.58659   0.0202691
           5    -5.53184    -5.57564   0.0189437
           6    -5.51435    -5.56543   0.0183352
           7    -5.53887    -5.56163   0.0161035
           8    -5.54293     -5.5593   0.0142592
           9    -5.53426    -5.55651   0.0129434
          10    -5.51471    -5.55233   0.0123058
          11     -5.5349    -5.55075   0.0112887
          12    -5.51822    -5.54804   0.0106683
          13    -5.55789     -5.5488  0.00987457
          14    -5.55209    -5.54903  0.00917204
          15    -5.54012    -5.54844   0.0085798
          16    -5.56825    -5.54968  0.00813246
          17    -5.55105    -5.54976  0.00765448
          18    -5.53767    -5.54908  0.00725864
          19    -5.54357    -5.54879  0.00688241
          20    -5.53708    -5.54821  0.00656316
