#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.487065    0.487065           0
           2    0.449313    0.468189   0.0133477
           3    0.432605    0.456328    0.013152
           4    0.456694    0.456419  0.00986432
           5    0.432912    0.451718  0.00894192
           6    0.426208    0.447466  0.00840177
           7    0.435726    0.445789  0.00736701
           8    0.437233     0.44472   0.0065233
           9     0.43305    0.443423  0.00592595
          10    0.422856    0.441366  0.00567905
          11    0.435473     0.44083  0.00518799
          12    0.425895    0.439586  0.00490268
          13    0.445999    0.440079   0.0045503
          14    0.440969    0.440143  0.00422572
          15    0.437515    0.439967  0.00394764
          16    0.448389    0.440494  0.00373584
          17    0.443564    0.440674  0.00352045
          18    0.434527    0.440333  0.00334139
          19    0.438936    0.440259  0.00316634
          20    0.433969    0.439945  0.00302361
