#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      0.6307      0.6307           0
           2    0.579693    0.605196   0.0180336
           3    0.555565    0.588653   0.0180833
           4    0.588554    0.588628   0.0135625
           5    0.554742    0.581851   0.0124285
           6    0.545185     0.57574   0.0117638
           7    0.559072    0.573359   0.0103214
           8    0.561027    0.571817  0.00914565
           9    0.555337    0.569986  0.00831075
          10    0.541814    0.567169  0.00794282
          11    0.556763    0.566223  0.00727687
          12     0.54457    0.564418  0.00689055
          13    0.570907    0.564918  0.00637856
          14    0.566119    0.565003  0.00592353
          15    0.559231    0.564619  0.00554111
          16    0.577235    0.565407  0.00525059
          17    0.569228    0.565632  0.00494654
          18    0.556645    0.565133  0.00469687
          19    0.560802    0.564905  0.00445519
          20    0.556504    0.564485  0.00425219
