#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -4.70283    -4.70283           0
           2     -4.7048    -4.70382 0.000694256
           3    -4.70282    -4.70348 0.000536571
           4    -4.70415    -4.70365 0.000427855
           5    -4.69973    -4.70287  0.00078075
           6    -4.69657    -4.70182  0.00115803
           7    -4.70026     -4.7016  0.00101361
           8    -4.70139    -4.70157 0.000887228
           9    -4.70125    -4.70153 0.000789348
          10    -4.70199    -4.70158 0.000711696
          11    -4.69975    -4.70141 0.000666055
          12    -4.70137    -4.70141 0.000610561
          13    -4.70153    -4.70142 0.000563661
          14    -4.70291    -4.70153 0.000533343
          15    -4.70127    -4.70151 0.000498057
          16     -4.7024    -4.70156 0.000470036
          17    -4.69721    -4.70131 0.000507338
          18     -4.7027    -4.70139 0.000485009
          19    -4.70237    -4.70144 0.000462222
          20    -4.70232    -4.70148 0.000441226
