#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.796301    0.796301           0
           2    0.795391    0.795846  0.00032139
           3    0.794511    0.795401 0.000421728
           4    0.793661    0.794966 0.000491996
           5    0.792839    0.794541 0.000547377
           6    0.792049    0.794125 0.000593133
           7    0.791289     0.79372 0.000631801
           8    0.790561    0.793325  0.00066489
           9    0.789864    0.792941  0.00069339
          10    0.789197    0.792566 0.000718016
          11    0.788561    0.792202 0.000739318
          12    0.787955    0.791848 0.000757718
          13    0.787378    0.791504 0.000773544
          14     0.78683     0.79117 0.000787063
          15     0.78631    0.790846 0.000798505
          16    0.785818    0.790532 0.000808074
          17    0.785354    0.790228 0.000815937
          18    0.784916    0.789932 0.000822241
          19    0.784504    0.789647  0.00082712
          20    0.784117     0.78937 0.000830691
          21    0.783755    0.789103 0.000833056
          22    0.783418    0.788844 0.000834308
          23    0.783104    0.788595 0.000834532
          24    0.782813    0.788354 0.000833804
          25    0.782545    0.788122 0.000832195
          26      0.7823    0.787898 0.000829768
          27    0.782076    0.787682 0.000826576
          28    0.781874    0.787475  0.00082267
          29    0.781693    0.787275   0.0008181
          30    0.781533    0.787084 0.000812912
          31    0.781394      0.7869 0.000807146
          32    0.781275    0.786725 0.000800838
          33    0.781176    0.786556 0.000794022
          34    0.781099    0.786396 0.000786727
          35    0.781041    0.786243 0.000778982
          36    0.781005    0.786097 0.000770814
          37    0.780989    0.785959 0.000762245
          38    0.780995    0.785829 0.000753299
          39    0.781022    0.785705 0.000743997
          40    0.781071     0.78559 0.000734364
          41    0.781141    0.785481 0.000724424
          42    0.781233     0.78538 0.000714202
          43    0.781347    0.785286 0.000703723
          44    0.781484      0.7852 0.000693014
          45    0.781644    0.785121 0.000682103
          46    0.781828    0.785049 0.000671021
          47    0.782035    0.784985 0.000659801
          48    0.782267    0.784928 0.000648481
          49    0.782523    0.784879 0.000637102
          50    0.782805    0.784838 0.000625709
          51    0.783111    0.784804 0.000614355
          52    0.783443    0.784778 0.000603098
          53    0.783801    0.784759    0.000592
          54    0.784185    0.784749 0.000581133
          55    0.784594    0.784746 0.000570573
          56     0.78503    0.784751 0.000560407
          57    0.785491    0.784764 0.000550726
          58    0.785978    0.784785 0.000541628
          59     0.78649    0.784814 0.000533218
          60    0.787028    0.784851 0.000525607
          61    0.787591    0.784896 0.000518907
          62     0.78818    0.784949 0.000513234
          63    0.788793     0.78501 0.000508703
          64    0.789431    0.785079 0.000505422
          65    0.790092    0.785156 0.000503496
          66    0.790776    0.785241 0.000503016
          67    0.791482    0.785334 0.000504061
          68    0.792211    0.785435 0.000506692
          69    0.792961    0.785544 0.000510951
          70    0.793731    0.785661 0.000516862
          71     0.79452    0.785786 0.000524425
          72    0.795327    0.785919 0.000533621
          73    0.796151    0.786059 0.000544411
          74    0.796992    0.786207 0.000556743
          75    0.797849    0.786362  0.00057055
          76    0.798719    0.786524 0.000585754
          77    0.799603    0.786694 0.000602269
          78    0.800498    0.786871 0.000620003
          79    0.801404    0.787055 0.000638863
          80     0.80232    0.787246 0.000658755
          81    0.803244    0.787443 0.000679584
          82    0.804175    0.787647 0.000701261
          83    0.805113    0.787858 0.000723696
          84    0.806056    0.788075 0.000746805
          85    0.807003    0.788297 0.000770507
          86    0.807954    0.788526 0.000794725
          87    0.808905     0.78876 0.000819386
          88    0.809858       0.789 0.000844422
          89     0.81081    0.789245 0.000869768
          90    0.811762    0.789495 0.000895364
          91    0.812711     0.78975 0.000921154
          92    0.813657     0.79001 0.000947086
          93    0.814599    0.790274 0.000973109
          94    0.815537    0.790543 0.000999179
          95    0.816468    0.790816  0.00102525
          96    0.817394    0.791093  0.00105129
          97    0.818312    0.791374  0.00107725
          98    0.819222    0.791658   0.0011031
          99    0.820125    0.791945  0.00112881
         100    0.821018    0.792236  0.00115436
         101    0.821903     0.79253   0.0011797
         102    0.822777    0.792826  0.00120483
         103    0.823641    0.793125  0.00122972
         104    0.824494    0.793427  0.00125434
         105    0.825336    0.793731  0.00127868
         106    0.826166    0.794037  0.00130271
         107    0.826984    0.794345  0.00132643
         108     0.82779    0.794655  0.00134982
         109    0.828584    0.794966  0.00137285
         110    0.829365    0.795279  0.00139554
         111    0.830134    0.795593  0.00141785
         112     0.83089    0.795908  0.00143979
         113    0.831632    0.796224  0.00146135
         114    0.832362    0.796541  0.00148251
         115    0.833078    0.796859  0.00150328
         116    0.833781    0.797177  0.00152365
         117    0.834471    0.797496  0.00154361
         118    0.835147    0.797815  0.00156316
         119     0.83581    0.798134  0.00158229
         120    0.836459    0.798453  0.00160101
         121    0.837096    0.798773  0.00161932
         122    0.837719    0.799092  0.00163721
         123    0.838329    0.799411  0.00165469
         124    0.838925     0.79973  0.00167175
         125    0.839508    0.800048  0.00168839
         126    0.840078    0.800366  0.00170462
         127    0.840635    0.800683  0.00172043
         128    0.841177    0.800999  0.00173583
         129    0.841705    0.801315  0.00175083
         130    0.842219    0.801629   0.0017654
         131    0.842719    0.801943  0.00177957
         132    0.843204    0.802255  0.00179334
         133    0.843674    0.802567  0.00180669
         134     0.84413    0.802877  0.00181964
         135     0.84457    0.803186  0.00183218
         136    0.844995    0.803493  0.00184432
         137    0.845405    0.803799  0.00185605
         138    0.845799    0.804104  0.00186739
         139    0.846177    0.804406  0.00187833
         140    0.846538    0.804707  0.00188886
         141    0.846883    0.805006    0.001899
         142    0.847211    0.805303  0.00190875
         143    0.847521    0.805599   0.0019181
         144    0.847815    0.805892  0.00192705
         145    0.848091    0.806183  0.00193561
         146    0.848349    0.806472  0.00194378
         147    0.848588    0.806758  0.00195156
         148    0.848809    0.807042  0.00195895
         149    0.849011    0.807324  0.00196594
         150    0.849192    0.807603  0.00197255
         151    0.849354     0.80788  0.00197877
         152    0.849495    0.808153   0.0019846
         153    0.849615    0.808424  0.00199005
         154    0.849714    0.808693  0.00199511
         155     0.84979    0.808958  0.00199977
         156    0.849845     0.80922  0.00200406
         157    0.849878    0.809479  0.00200796
         158    0.849887    0.809734  0.00201147
         159    0.849874    0.809987   0.0020146
         160    0.849837    0.810236  0.00201734
         161    0.849776    0.810482  0.00201971
         162    0.849691    0.810724  0.00202169
         163    0.849581    0.810962  0.00202329
         164    0.849447    0.811197  0.00202452
         165    0.849288    0.811428  0.00202537
         166    0.849103    0.811654  0.00202584
         167    0.848894    0.811877  0.00202595
         168    0.848658    0.812096  0.00202568
         169    0.848396    0.812311  0.00202505
         170    0.848109    0.812522  0.00202406
         171    0.847795    0.812728  0.00202271
         172    0.847455     0.81293    0.002021
         173    0.847087    0.813127  0.00201894
         174    0.846693     0.81332  0.00201653
         175    0.846273    0.813509  0.00201378
         176    0.845826    0.813692  0.00201069
         177    0.845352    0.813871  0.00200727
         178    0.844851    0.814045  0.00200352
         179    0.844324    0.814214  0.00199946
         180    0.843769    0.814378  0.00199508
         181    0.843188    0.814538   0.0019904
         182    0.842579    0.814692  0.00198542
         183    0.841943    0.814841  0.00198014
         184     0.84128    0.814984  0.00197459
         185    0.840591    0.815123  0.00196876
         186    0.839874    0.815256  0.00196267
         187    0.839131    0.815383  0.00195632
         188    0.838361    0.815506  0.00194973
         189    0.837565    0.815622   0.0019429
         190    0.836742    0.815734  0.00193585
         191    0.835894    0.815839  0.00192859
         192     0.83502    0.815939  0.00192114
         193    0.834121    0.816033  0.00191349
         194    0.833197    0.816122  0.00190567
         195    0.832249    0.816204  0.00189769
         196    0.831275    0.816281  0.00188957
         197    0.830278    0.816352  0.00188131
         198    0.829257    0.816418  0.00187294
         199    0.828213    0.816477  0.00186446
         200    0.827147     0.81653   0.0018559
         201    0.826058    0.816578  0.00184728
         202    0.824948    0.816619   0.0018386
         203    0.823817    0.816654  0.00182988
         204    0.822666    0.816684  0.00182115
         205    0.821496    0.816707  0.00181242
         206    0.820307    0.816725   0.0018037
         207      0.8191    0.816736  0.00179503
         208    0.817877    0.816742   0.0017864
         209    0.816637    0.816741  0.00177786
         210    0.815383    0.816735   0.0017694
         211    0.814115    0.816722  0.00176106
         212    0.812834    0.816704  0.00175285
         213    0.811542     0.81668  0.00174479
         214    0.810239     0.81665  0.00173689
         215    0.808928    0.816614  0.00172919
         216    0.807608    0.816572  0.00172168
         217    0.806283    0.816525   0.0017144
         218    0.804953    0.816472  0.00170736
         219    0.803619    0.816413  0.00170057
         220    0.802283    0.816349  0.00169405
         221    0.800947    0.816279  0.00168782
         222    0.799611    0.816204  0.00168189
         223    0.798279    0.816124  0.00167627
         224     0.79695    0.816038  0.00167097
         225    0.795626    0.815947    0.001666
         226     0.79431    0.815852  0.00166138
         227    0.793004    0.815751   0.0016571
         228    0.791708    0.815645  0.00165319
         229    0.790424    0.815535  0.00164963
         230    0.789154    0.815421  0.00164644
         231    0.787901    0.815301  0.00164362
         232    0.786664    0.815178  0.00164117
         233    0.785447     0.81505  0.00163907
         234    0.784251    0.814919  0.00163735
         235    0.783077    0.814783  0.00163598
         236    0.781927    0.814644  0.00163496
         237    0.780803    0.814501  0.00163428
         238    0.779705    0.814355  0.00163394
         239    0.778634    0.814206  0.00163393
         240    0.777594    0.814053  0.00163422
         241    0.776583    0.813898  0.00163482
         242    0.775605    0.813739  0.00163571
         243     0.77466    0.813579  0.00163686
         244     0.77375    0.813415  0.00163827
         245    0.772874     0.81325  0.00163992
         246    0.772035    0.813082  0.00164179
         247    0.771232    0.812913  0.00164386
         248    0.770467    0.812742  0.00164612
         249    0.769739    0.812569  0.00164854
         250    0.769049    0.812395  0.00165112
         251    0.768398     0.81222  0.00165382
         252    0.767786    0.812043  0.00165663
         253    0.767214    0.811866  0.00165953
         254     0.76668    0.811688   0.0016625
         255    0.766186     0.81151  0.00166553
         256    0.765731    0.811331   0.0016686
         257    0.765315    0.811152  0.00167168
         258    0.764938    0.810973  0.00167477
         259    0.764599    0.810794  0.00167785
         260    0.764297    0.810615   0.0016809
         261    0.764033    0.810436  0.00168391
         262    0.763806    0.810258  0.00168686
         263    0.763615    0.810081  0.00168974
         264    0.763459    0.809905  0.00169255
         265    0.763337    0.809729  0.00169526
         266    0.763247    0.809554  0.00169787
         267    0.763191     0.80938  0.00170036
         268    0.763165    0.809208  0.00170274
         269     0.76317    0.809037  0.00170499
         270    0.763204    0.808867  0.00170711
         271    0.763266    0.808699  0.00170908
         272    0.763355    0.808532  0.00171091
         273    0.763469    0.808367  0.00171258
         274    0.763608    0.808204  0.00171411
         275     0.76377    0.808042  0.00171547
         276    0.763954    0.807882  0.00171668
         277    0.764159    0.807725  0.00171772
         278    0.764384    0.807569   0.0017186
         279    0.764628    0.807415  0.00171932
         280     0.76489    0.807263  0.00171988
         281    0.765168    0.807113  0.00172027
         282    0.765462    0.806965  0.00172049
         283     0.76577     0.80682  0.00172056
         284    0.766093    0.806676  0.00172047
         285    0.766429    0.806535  0.00172022
         286    0.766776    0.806396  0.00171981
         287    0.767134    0.806259  0.00171925
         288    0.767503    0.806125  0.00171854
         289    0.767882    0.805992  0.00171768
         290    0.768269    0.805862  0.00171668
         291    0.768664    0.805735  0.00171553
         292    0.769068    0.805609  0.00171424
         293    0.769479    0.805486  0.00171282
         294    0.769897    0.805365  0.00171127
         295    0.770322    0.805246  0.00170959
         296    0.770753    0.805129  0.00170778
         297    0.771189    0.805015  0.00170585
         298    0.771632    0.804903   0.0017038
         299     0.77208    0.804793  0.00170163
         300    0.772534    0.804686  0.00169935
         301    0.772993     0.80458  0.00169697
         302    0.773457    0.804477  0.00169447
         303    0.773926    0.804376  0.00169188
         304    0.774401    0.804278  0.00168918
         305    0.774881    0.804181  0.00168639
         306    0.775366    0.804087  0.00168351
         307    0.775856    0.803995  0.00168054
         308    0.776352    0.803906  0.00167747
         309    0.776854    0.803818  0.00167433
         310    0.777361    0.803733   0.0016711
         311    0.777873     0.80365   0.0016678
         312    0.778392    0.803569  0.00166441
         313    0.778916     0.80349  0.00166096
         314    0.779447    0.803413  0.00165743
         315    0.779983    0.803339  0.00165384
         316    0.780526    0.803267  0.00165018
         317    0.781074    0.803197  0.00164646
         318    0.781628    0.803129  0.00164268
         319    0.782188    0.803063  0.00163884
         320    0.782754       0.803  0.00163495
         321    0.783325    0.802938    0.001631
         322    0.783903    0.802879  0.00162701
         323    0.784486    0.802822  0.00162297
         324    0.785074    0.802768  0.00161888
         325    0.785669    0.802715  0.00161476
         326    0.786268    0.802665  0.00161059
         327    0.786873    0.802616  0.00160639
         328    0.787483     0.80257  0.00160215
         329    0.788098    0.802526  0.00159789
         330    0.788717    0.802484  0.00159359
         331    0.789342    0.802445  0.00158927
