#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.70913     1.70913           0
           2     1.70878     1.70895 0.000122926
           3     1.70844     1.70878 0.000162501
           4      1.7081     1.70861 0.000191214
           5     1.70777     1.70844 0.000214856
           6     1.70744     1.70828 0.000235497
           7     1.70711     1.70811 0.000254131
           8     1.70678     1.70794 0.000271312
           9     1.70645     1.70778 0.000287403
          10     1.70612     1.70761 0.000302668
          11     1.70579     1.70745 0.000317294
          12     1.70545     1.70728 0.000331445
          13     1.70511     1.70711 0.000345259
          14     1.70477     1.70695 0.000358826
          15     1.70442     1.70678 0.000372224
          16     1.70407     1.70661  0.00038553
          17     1.70371     1.70644 0.000398795
          18     1.70334     1.70627 0.000412051
          19     1.70297     1.70609 0.000425343
          20     1.70259     1.70592 0.000438718
          21     1.70219     1.70574 0.000452209
          22      1.7018     1.70556 0.000465834
          23     1.70139     1.70538 0.000479601
          24     1.70097     1.70519 0.000493506
          25     1.70055     1.70501 0.000507551
          26     1.70012     1.70482 0.000521738
          27     1.69968     1.70463  0.00053606
          28     1.69923     1.70444 0.000550503
          29     1.69878     1.70424 0.000565057
          30     1.69832     1.70405  0.00057971
          31     1.69785     1.70385 0.000594449
          32     1.69738     1.70364 0.000609258
          33      1.6969     1.70344 0.000624124
          34     1.69642     1.70323 0.000639028
          35     1.69593     1.70302 0.000653938
          36     1.69544     1.70281  0.00066882
          37     1.69495      1.7026 0.000683652
          38     1.69446     1.70239 0.000698413
          39     1.69397     1.70217 0.000713089
          40     1.69347     1.70195 0.000727661
          41     1.69298     1.70173 0.000742113
          42     1.69248     1.70151 0.000756434
          43     1.69199     1.70129 0.000770612
          44     1.69149     1.70107 0.000784634
          45       1.691     1.70085 0.000798489
          46      1.6905     1.70062 0.000812177
          47     1.69001     1.70039 0.000825698
          48     1.68951     1.70017 0.000839048
          49     1.68902     1.69994 0.000852231
          50     1.68852     1.69971 0.000865255
          51     1.68802     1.69948 0.000878136
          52     1.68752     1.69925 0.000890893
          53     1.68701     1.69902 0.000903543
          54     1.68649     1.69879 0.000916109
          55     1.68597     1.69856 0.000928619
          56     1.68544     1.69832 0.000941105
          57      1.6849     1.69809 0.000953603
          58     1.68434     1.69785  0.00096615
          59     1.68377     1.69761 0.000978789
          60     1.68319     1.69737 0.000991564
          61     1.68258     1.69713  0.00100452
          62     1.68195     1.69688  0.00101769
          63     1.68131     1.69664  0.00103114
          64     1.68063     1.69639  0.00104491
          65     1.67993     1.69613  0.00105906
          66      1.6792     1.69588  0.00107365
          67     1.67844     1.69562  0.00108872
          68     1.67764     1.69535  0.00110434
          69     1.67681     1.69508  0.00112056
          70     1.67594     1.69481  0.00113745
          71     1.67502     1.69453  0.00115506
          72     1.67407     1.69425  0.00117346
          73     1.67307     1.69396  0.00119269
          74     1.67203     1.69366  0.00121281
          75     1.67094     1.69336  0.00123389
          76      1.6698     1.69305  0.00125598
          77     1.66862     1.69273  0.00127912
          78     1.66738     1.69241  0.00130335
          79     1.66609     1.69207  0.00132874
          80     1.66475     1.69173   0.0013553
          81     1.66336     1.69138  0.00138308
          82     1.66192     1.69102  0.00141211
          83     1.66043     1.69065  0.00144241
          84     1.65888     1.69027    0.001474
          85     1.65728     1.68989  0.00150689
          86     1.65564     1.68949  0.00154109
          87     1.65395     1.68908  0.00157659
          88     1.65221     1.68866  0.00161339
          89     1.65042     1.68823  0.00165147
          90      1.6486     1.68779  0.00169081
          91     1.64673     1.68734  0.00173139
          92     1.64483     1.68688  0.00177316
          93     1.64289      1.6864  0.00181609
          94     1.64092     1.68592  0.00186013
          95     1.63892     1.68543  0.00190521
          96     1.63689     1.68492  0.00195129
          97     1.63485      1.6844  0.00199829
          98     1.63279     1.68388  0.00204614
          99     1.63071     1.68334  0.00209476
         100     1.62862     1.68279  0.00214409
         101     1.62653     1.68224  0.00219402
         102     1.62444     1.68167  0.00224448
         103     1.62235     1.68109  0.00229538
         104     1.62027     1.68051  0.00234662
         105     1.61821     1.67992  0.00239812
         106     1.61615     1.67931  0.00244978
         107     1.61412      1.6787   0.0025015
         108     1.61211     1.67809   0.0025532
         109     1.61014     1.67746  0.00260476
         110      1.6082     1.67683  0.00265611
         111     1.60629      1.6762  0.00270715
         112     1.60442     1.67556  0.00275779
         113      1.6026     1.67491  0.00280794
         114     1.60083     1.67426  0.00285752
         115     1.59911     1.67361  0.00290644
         116     1.59744     1.67295  0.00295463
         117     1.59583     1.67229    0.003002
         118     1.59428     1.67163   0.0030485
         119     1.59279     1.67097  0.00309405
         120     1.59136     1.67031  0.00313859
         121     1.58999     1.66964  0.00318206
         122      1.5887     1.66898  0.00322441
         123     1.58746     1.66832  0.00326559
         124      1.5863     1.66766  0.00330556
         125      1.5852       1.667  0.00334428
         126     1.58418     1.66634  0.00338171
         127     1.58322     1.66568  0.00341784
         128     1.58232     1.66503  0.00345262
         129      1.5815     1.66438  0.00348606
         130     1.58073     1.66374  0.00351813
         131     1.58004      1.6631  0.00354883
         132      1.5794     1.66247  0.00357814
         133     1.57883     1.66184  0.00360608
         134     1.57831     1.66122  0.00363264
         135     1.57786      1.6606  0.00365784
         136     1.57746     1.65999  0.00368168
         137     1.57711     1.65938  0.00370417
         138     1.57681     1.65878  0.00372535
         139     1.57656     1.65819  0.00374522
         140     1.57635     1.65761  0.00376382
         141     1.57619     1.65703  0.00378116
         142     1.57607     1.65646  0.00379727
         143     1.57598      1.6559   0.0038122
         144     1.57593     1.65534  0.00382596
         145     1.57591     1.65479  0.00383859
         146     1.57592     1.65425  0.00385012
         147     1.57596     1.65372  0.00386059
         148     1.57602      1.6532  0.00387004
         149     1.57611     1.65268   0.0038785
         150     1.57621     1.65217    0.003886
         151     1.57632     1.65167  0.00389259
         152     1.57646     1.65117  0.00389831
         153      1.5766     1.65068  0.00390318
         154     1.57675      1.6502  0.00390725
         155     1.57691     1.64973  0.00391055
