#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.48627    -5.48627           0
           2    -5.48562    -5.48595  0.00022768
           3    -5.48514    -5.48568 0.000267627
           4    -5.48465    -5.48542 0.000299045
           5    -5.48432     -5.4852 0.000309598
           6    -5.48384    -5.48497 0.000330662
           7    -5.48351    -5.48476 0.000343056
           8    -5.48318    -5.48457 0.000352576
           9    -5.48315    -5.48441 0.000346545
          10    -5.48282    -5.48425 0.000346335
          11    -5.48249    -5.48409 0.000349983
          12      -5.482    -5.48392 0.000361674
          13     -5.4815    -5.48373 0.000378494
          14      -5.481    -5.48354 0.000398414
          15     -5.4808    -5.48335 0.000411451
          16    -5.48044    -5.48317 0.000424109
          17    -5.48053    -5.48302 0.000426736
          18       -5.48    -5.48285 0.000434638
          19    -5.47947    -5.48267 0.000446683
          20    -5.47908    -5.48249 0.000459052
          21    -5.47853     -5.4823 0.000474408
          22    -5.47797    -5.48211 0.000492031
          23     -5.4774     -5.4819 0.000511355
          24    -5.47698     -5.4817 0.000529572
          25    -5.47655    -5.48149 0.000546965
          26    -5.47566    -5.48127 0.000570111
          27    -5.47521    -5.48104 0.000591484
          28    -5.47476    -5.48082 0.000611481
          29    -5.47445     -5.4806 0.000628623
          30    -5.47428    -5.48039 0.000641957
          31    -5.47381    -5.48017 0.000655382
          32    -5.47333    -5.47996 0.000668894
          33    -5.47254    -5.47974 0.000685335
          34    -5.47161     -5.4795 0.000705662
          35    -5.47097    -5.47925 0.000726369
          36    -5.47048    -5.47901 0.000745984
          37    -5.46998    -5.47877 0.000764659
          38    -5.46964    -5.47853 0.000781319
          39      -5.469    -5.47828 0.000798577
          40     -5.4685    -5.47804 0.000815183
          41    -5.46785    -5.47779  0.00083227
          42    -5.46706    -5.47753 0.000850774
          43    -5.46686    -5.47728 0.000866414
          44    -5.46652    -5.47704 0.000880586
          45    -5.46603    -5.47679 0.000894387
          46    -5.46523    -5.47654 0.000909605
          47    -5.46473    -5.47629 0.000924309
          48    -5.46424    -5.47604 0.000938549
          49    -5.46419     -5.4758 0.000950025
          50    -5.46385    -5.47556 0.000960634
          51    -5.46334    -5.47532 0.000971211
          52    -5.46329    -5.47509 0.000979713
          53    -5.46277    -5.47486   0.0009884
          54     -5.4624    -5.47463 0.000996638
          55    -5.46172    -5.47439  0.00100576
          56    -5.46133    -5.47416  0.00101448
          57    -5.46077    -5.47392   0.0010235
          58    -5.46005    -5.47368  0.00103341
          59    -5.45962    -5.47345  0.00104304
          60    -5.45931    -5.47321  0.00105191
          61    -5.45884    -5.47297  0.00106072
          62    -5.45774    -5.47273  0.00107171
          63    -5.45737    -5.47249  0.00108209
          64    -5.45682    -5.47224  0.00109253
          65    -5.45593    -5.47199  0.00110415
          66    -5.45487    -5.47173  0.00111747
          67    -5.45407    -5.47147  0.00113144
          68    -5.45324     -5.4712  0.00114612
          69    -5.45237    -5.47093  0.00116154
          70    -5.45161    -5.47065  0.00117728
          71    -5.45096    -5.47037  0.00119292
          72    -5.44996    -5.47009  0.00120957
          73    -5.44907     -5.4698   0.0012268
          74    -5.44768     -5.4695  0.00124612
          75    -5.44654     -5.4692  0.00126656
          76    -5.44535    -5.46888  0.00128817
          77    -5.44396    -5.46856  0.00131146
          78    -5.44253    -5.46822  0.00133644
          79    -5.44104    -5.46788  0.00136312
          80     -5.4398    -5.46753  0.00139055
          81    -5.43865    -5.46717  0.00141834
          82    -5.43716    -5.46681   0.0014475
          83    -5.43561    -5.46643  0.00147804
          84    -5.43417    -5.46605  0.00150952
          85    -5.43268    -5.46565  0.00154196
          86    -5.43083    -5.46525   0.0015763
          87     -5.4294    -5.46484  0.00161115
          88    -5.42761    -5.46441  0.00164743
          89    -5.42563    -5.46398  0.00168556
          90    -5.42362    -5.46353  0.00172546
          91    -5.42186    -5.46307  0.00176621
          92    -5.41992     -5.4626  0.00180821
          93     -5.4178    -5.46212  0.00185183
          94    -5.41595    -5.46163  0.00189614
          95    -5.41363    -5.46113  0.00194235
          96    -5.41173    -5.46061  0.00198909
          97    -5.40967    -5.46009  0.00203673
          98    -5.40744    -5.45955  0.00208559
          99    -5.40551      -5.459  0.00213476
         100    -5.40357    -5.45845   0.0021842
         101    -5.40148    -5.45788  0.00223423
         102    -5.39939    -5.45731  0.00228474
         103    -5.39716    -5.45673  0.00233601
         104    -5.39509    -5.45613  0.00238755
         105    -5.39319    -5.45553  0.00243891
         106    -5.39085    -5.45492  0.00249107
         107    -5.38945    -5.45431  0.00254184
         108    -5.38732    -5.45369  0.00259288
         109    -5.38553    -5.45307  0.00264342
         110    -5.38362    -5.45244  0.00269372
         111    -5.38161     -5.4518  0.00274399
         112    -5.37994    -5.45116   0.0027935
         113    -5.37831    -5.45051  0.00284217
         114    -5.37659    -5.44986  0.00289026
         115    -5.37493    -5.44921  0.00293766
         116    -5.37331    -5.44856  0.00298431
         117    -5.37161     -5.4479   0.0030304
         118    -5.37012    -5.44724  0.00307557
         119    -5.36884    -5.44658  0.00311949
         120    -5.36702    -5.44592  0.00316316
         121    -5.36573    -5.44526   0.0032057
         122    -5.36419    -5.44459  0.00324756
         123    -5.36318    -5.44393  0.00328791
         124    -5.36208    -5.44327  0.00332699
         125     -5.3609    -5.44261  0.00336499
         126    -5.35994    -5.44195  0.00340164
         127    -5.35935     -5.4413  0.00343647
         128    -5.35853    -5.44066  0.00346994
         129    -5.35746    -5.44001  0.00350246
         130    -5.35692    -5.43937  0.00353337
         131    -5.35658    -5.43874  0.00356247
         132    -5.35601    -5.43811  0.00359019
         133    -5.35534    -5.43749  0.00361673
         134    -5.35504    -5.43688  0.00364171
         135    -5.35464    -5.43627  0.00366533
         136    -5.35444    -5.43567  0.00368743
         137    -5.35399    -5.43507  0.00370839
         138    -5.35389    -5.43448  0.00372788
         139    -5.35353     -5.4339  0.00374627
         140    -5.35337    -5.43332  0.00376341
