#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.915137    0.915137           0
           2    0.914975    0.915056 5.72614e-05
           3    0.914814    0.914975  7.6146e-05
           4    0.914655    0.914895 8.97719e-05
           5    0.914496    0.914815 0.000101212
           6    0.914341    0.914736 0.000110992
           7    0.914184    0.914657 0.000119918
           8    0.914028    0.914579 0.000128171
           9    0.913867      0.9145 0.000136155
          10     0.91371    0.914421 0.000143614
          11    0.913552    0.914342 0.000150692
          12    0.913396    0.914263 0.000157409
          13    0.913237    0.914184 0.000163891
          14    0.913076    0.914105 0.000170215
          15    0.912909    0.914025 0.000176561
          16     0.91274    0.913945 0.000182875
          17    0.912562    0.913863 0.000189338
          18     0.91239    0.913782 0.000195713
          19    0.912214    0.913699 0.000202049
          20    0.912032    0.913616 0.000208429
          21    0.911848    0.913532  0.00021483
          22     0.91166    0.913446 0.000221273
          23    0.911467     0.91336  0.00022777
          24    0.911269    0.913273 0.000234358
          25    0.911067    0.913185 0.000241034
          26    0.910867    0.913096 0.000247707
          27    0.910656    0.913006 0.000254477
          28    0.910443    0.912914  0.00026133
          29    0.910223    0.912821 0.000268285
          30    0.909998    0.912727 0.000275352
          31    0.909774    0.912632 0.000282464
          32    0.909548    0.912535 0.000289613
          33    0.909323    0.912438  0.00029675
          34    0.909097     0.91234 0.000303854
          35    0.908866    0.912241 0.000310957
          36    0.908632     0.91214 0.000318063
          37    0.908397    0.912039 0.000325157
          38    0.908159    0.911937 0.000332246
          39    0.907925    0.911834 0.000339283
          40    0.907687    0.911731 0.000346278
          41    0.907452    0.911626 0.000353204
          42    0.907219    0.911521 0.000360043
          43    0.906977    0.911416 0.000366851
          44    0.906738    0.911309 0.000373601
          45    0.906501    0.911202  0.00038027
          46    0.906269    0.911095 0.000386832
          47    0.906032    0.910987 0.000393316
          48    0.905796    0.910879 0.000399718
          49    0.905552    0.910771 0.000406075
          50    0.905313    0.910661 0.000412364
          51    0.905074    0.910552 0.000418578
          52    0.904827    0.910442  0.00042476
          53    0.904584    0.910331 0.000430883
          54    0.904337     0.91022 0.000436968
          55     0.90409    0.910109 0.000443009
          56    0.903835    0.909997 0.000449043
          57    0.903576    0.909884 0.000455077
          58    0.903312    0.909771 0.000461121
          59    0.903037    0.909657 0.000467215
          60    0.902752    0.909542  0.00047339
          61    0.902459    0.909426 0.000479657
          62    0.902166    0.909308 0.000486003
          63     0.90185     0.90919 0.000492498
          64    0.901524     0.90907 0.000499157
          65    0.901189    0.908949 0.000505991
          66    0.900841    0.908826 0.000513021
          67    0.900473    0.908701 0.000520292
          68    0.900088    0.908575 0.000527834
          69    0.899685    0.908446 0.000535677
          70    0.899261    0.908315 0.000543856
          71    0.898815    0.908181 0.000552409
          72    0.898353    0.908044 0.000561349
          73    0.897866    0.907905 0.000570713
          74    0.897363    0.907763 0.000580507
          75    0.896833    0.907617 0.000590775
          76    0.896278    0.907468 0.000601545
          77    0.895701    0.907315 0.000612834
          78      0.8951    0.907158 0.000624666
          79    0.894473    0.906998 0.000637064
          80    0.893815    0.906833 0.000650062
          81     0.89313    0.906664 0.000663684
          82    0.892423     0.90649 0.000677931
          83     0.89169    0.906312 0.000692815
          84     0.89093    0.906129 0.000708354
          85    0.890144    0.905941 0.000724552
          86    0.889339    0.905748 0.000741397
          87    0.888502    0.905549 0.000758911
          88    0.887647    0.905346 0.000777075
          89    0.886772    0.905137 0.000795875
          90    0.885874    0.904923 0.000815303
          91    0.884953    0.904704 0.000835358
          92    0.884014    0.904479 0.000856013
          93     0.88306    0.904248 0.000877243
          94    0.882086    0.904013 0.000899036
          95    0.881104    0.903772 0.000921345
          96    0.880103    0.903525 0.000944159
          97    0.879093    0.903273 0.000967438
          98    0.878077    0.903016 0.000991141
          99    0.877049    0.902754  0.00101524
         100    0.876017    0.902486   0.0010397
         101    0.874984    0.902214  0.00106447
         102     0.87395    0.901937   0.0010895
         103     0.87292    0.901655  0.00111475
         104    0.871892    0.901369  0.00114017
         105    0.870867    0.901079  0.00116573
         106    0.869856    0.900784  0.00119137
         107    0.868843    0.900486  0.00121706
         108    0.867853    0.900183  0.00124273
         109    0.866873    0.899878  0.00126835
         110    0.865912    0.899569  0.00129386
         111    0.864971    0.899257  0.00131921
         112    0.864046    0.898943  0.00134437
         113    0.863143    0.898626   0.0013693
         114    0.862266    0.898307  0.00139394
         115    0.861415    0.897986  0.00141825
         116    0.860591    0.897664   0.0014422
         117    0.859796     0.89734  0.00146574
         118    0.859029    0.897016  0.00148884
         119     0.85829     0.89669  0.00151148
         120    0.857591    0.896364   0.0015336
         121    0.856917    0.896038  0.00155519
         122    0.856281    0.895713  0.00157622
         123    0.855671    0.895387  0.00159667
         124    0.855097    0.895062  0.00161651
         125     0.85456    0.894738  0.00163573
         126    0.854053    0.894415  0.00165431
         127    0.853576    0.894094  0.00167225
         128    0.853137    0.893774  0.00168952
         129    0.852736    0.893455  0.00170611
         130     0.85236    0.893139  0.00172202
         131    0.852014    0.892825  0.00173725
         132    0.851704    0.892514   0.0017518
         133    0.851426    0.892205  0.00176566
         134    0.851174    0.891899  0.00177884
         135    0.850953    0.891595  0.00179133
         136    0.850757    0.891295  0.00180315
         137    0.850591    0.890998   0.0018143
         138    0.850446    0.890704   0.0018248
         139    0.850329    0.890414  0.00183464
         140    0.850233    0.890127  0.00184385
         141    0.850154    0.889843  0.00185244
         142    0.850099    0.889563  0.00186042
         143    0.850061    0.889287   0.0018678
         144    0.850044    0.889015  0.00187461
         145    0.850045    0.888746  0.00188085
         146    0.850056    0.888481  0.00188654
         147    0.850078     0.88822  0.00189171
         148    0.850117    0.887962  0.00189637
         149    0.850166    0.887708  0.00190053
         150    0.850224    0.887459  0.00190422
         151    0.850291    0.887212  0.00190745
         152    0.850364     0.88697  0.00191024
         153     0.85044    0.886731  0.00191262
         154    0.850521    0.886496   0.0019146
         155    0.850607    0.886265   0.0019162
         156    0.850695    0.886037  0.00191743
         157    0.850778    0.885812  0.00191832
         158    0.850864    0.885591  0.00191889
         159    0.850952    0.885373  0.00191915
         160    0.851038    0.885158  0.00191912
         161    0.851123    0.884947   0.0019188
         162      0.8512    0.884739  0.00191823
         163    0.851283    0.884533  0.00191742
         164    0.851354    0.884331  0.00191637
         165    0.851421    0.884132   0.0019151
         166    0.851482    0.883935  0.00191364
         167    0.851535    0.883741  0.00191199
         168    0.851589     0.88355  0.00191017
         169    0.851634    0.883361  0.00190818
         170    0.851672    0.883174  0.00190603
         171    0.851703     0.88299  0.00190375
         172    0.851724    0.882808  0.00190134
         173    0.851738    0.882629  0.00189882
         174    0.851749    0.882451  0.00189618
         175    0.851753    0.882276  0.00189344
         176    0.851748    0.882103  0.00189061
         177    0.851735    0.881931   0.0018877
         178    0.851711    0.881761  0.00188471
         179    0.851686    0.881593  0.00188166
         180    0.851656    0.881427  0.00187854
         181    0.851615    0.881262  0.00187537
         182    0.851569    0.881099  0.00187215
         183     0.85152    0.880937  0.00186888
         184     0.85147    0.880777  0.00186557
         185    0.851414    0.880618  0.00186223
         186    0.851355    0.880461  0.00185885
         187    0.851292    0.880305  0.00185544
         188    0.851225     0.88015  0.00185201
         189    0.851164    0.879997  0.00184855
         190    0.851103    0.879845  0.00184506
         191    0.851045    0.879694  0.00184156
         192    0.850992    0.879545  0.00183802
         193    0.850944    0.879397  0.00183446
         194    0.850901     0.87925  0.00183088
         195    0.850862    0.879104  0.00182727
         196     0.85083     0.87896  0.00182363
         197    0.850814    0.878817  0.00181996
         198    0.850809    0.878676  0.00181626
         199    0.850819    0.878536  0.00181252
         200    0.850841    0.878397  0.00180874
         201    0.850882     0.87826  0.00180491
         202    0.850943    0.878125  0.00180103
         203     0.85103    0.877991   0.0017971
         204    0.851136     0.87786  0.00179311
