#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.13942     1.13942           0
           2     1.13919      1.1393 8.19505e-05
           3     1.13896     1.13919 0.000108334
           4     1.13873     1.13907 0.000127476
           5     1.13851     1.13896 0.000143237
           6     1.13829     1.13885 0.000156998
           7     1.13807     1.13874 0.000169421
           8     1.13785     1.13863 0.000180875
           9     1.13763     1.13852 0.000191602
          10     1.13741     1.13841 0.000201779
          11     1.13719      1.1383  0.00021153
          12     1.13697     1.13819 0.000220963
          13     1.13674     1.13807 0.000230173
          14     1.13651     1.13796 0.000239218
          15     1.13628     1.13785 0.000248149
          16     1.13605     1.13774  0.00025702
          17     1.13581     1.13762 0.000265863
          18     1.13556     1.13751   0.0002747
          19     1.13531     1.13739 0.000283562
          20     1.13506     1.13728 0.000292479
          21      1.1348     1.13716 0.000301472
          22     1.13453     1.13704 0.000310556
          23     1.13426     1.13692 0.000319734
          24     1.13398      1.1368 0.000329004
          25      1.1337     1.13667 0.000338367
          26     1.13341     1.13655 0.000347826
          27     1.13312     1.13642 0.000357374
          28     1.13282     1.13629 0.000367002
          29     1.13252     1.13616 0.000376704
          30     1.13221     1.13603 0.000386474
          31      1.1319      1.1359 0.000396299
          32     1.13159     1.13576 0.000406172
          33     1.13127     1.13563 0.000416083
          34     1.13094     1.13549 0.000426019
          35     1.13062     1.13535 0.000435959
          36      1.1303     1.13521  0.00044588
          37     1.12997     1.13507 0.000455768
          38     1.12964     1.13492 0.000465609
          39     1.12931     1.13478 0.000475393
          40     1.12898     1.13464 0.000485107
          41     1.12865     1.13449 0.000494742
          42     1.12832     1.13434 0.000504289
          43     1.12799     1.13419 0.000513741
          44     1.12766     1.13405 0.000523089
          45     1.12733      1.1339 0.000532326
          46       1.127     1.13375 0.000541452
          47     1.12667      1.1336 0.000550465
          48     1.12634     1.13345 0.000559366
          49     1.12601     1.13329 0.000568154
          50     1.12568     1.13314 0.000576837
          51     1.12535     1.13299 0.000585424
          52     1.12501     1.13284 0.000593929
          53     1.12467     1.13268 0.000602362
          54     1.12433     1.13253 0.000610739
          55     1.12398     1.13237 0.000619079
          56     1.12363     1.13222 0.000627403
          57     1.12327     1.13206 0.000635735
          58      1.1229      1.1319   0.0006441
          59     1.12252     1.13174 0.000652526
          60     1.12212     1.13158 0.000661042
          61     1.12172     1.13142 0.000669678
          62      1.1213     1.13126 0.000678462
          63     1.12087     1.13109 0.000687428
          64     1.12042     1.13092 0.000696609
          65     1.11995     1.13076 0.000706042
          66     1.11947     1.13058 0.000715764
          67     1.11896     1.13041 0.000725811
          68     1.11843     1.13023 0.000736224
          69     1.11787     1.13006  0.00074704
          70     1.11729     1.12987   0.0007583
          71     1.11668     1.12969 0.000770042
          72     1.11605      1.1295 0.000782304
          73     1.11538      1.1293 0.000795124
          74     1.11469     1.12911 0.000808543
          75     1.11396     1.12891 0.000822596
          76      1.1132      1.1287 0.000837318
          77     1.11241     1.12849 0.000852744
          78     1.11159     1.12827 0.000868903
          79     1.11073     1.12805 0.000885824
          80     1.10984     1.12782 0.000903532
          81     1.10891     1.12759 0.000922053
          82     1.10795     1.12735 0.000941405
          83     1.10695      1.1271 0.000961605
          84     1.10592     1.12685 0.000982665
          85     1.10486     1.12659  0.00100459
          86     1.10376     1.12633  0.00102739
          87     1.10263     1.12605  0.00105106
          88     1.10147     1.12577  0.00107559
          89     1.10028     1.12549  0.00110098
          90     1.09907     1.12519  0.00112721
          91     1.09782     1.12489  0.00115426
          92     1.09655     1.12458  0.00118211
          93     1.09526     1.12427  0.00121073
          94     1.09394     1.12395  0.00124008
          95     1.09261     1.12362  0.00127014
          96     1.09126     1.12328  0.00130086
          97      1.0899     1.12294  0.00133219
          98     1.08852     1.12258  0.00136409
          99     1.08714     1.12223  0.00139651
         100     1.08575     1.12186  0.00142939
         101     1.08436     1.12149  0.00146268
         102     1.08296     1.12111  0.00149632
         103     1.08157     1.12073  0.00153025
         104     1.08018     1.12034  0.00156442
         105      1.0788     1.11994  0.00159875
         106     1.07744     1.11954  0.00163319
         107     1.07608     1.11914  0.00166767
         108     1.07474     1.11873  0.00170213
         109     1.07343     1.11831  0.00173651
         110     1.07213     1.11789  0.00177074
         111     1.07086     1.11747  0.00180477
         112     1.06962     1.11704  0.00183853
         113      1.0684     1.11661  0.00187196
         114     1.06722     1.11618  0.00190501
         115     1.06607     1.11574  0.00193763
         116     1.06496      1.1153  0.00196975
         117     1.06389     1.11486  0.00200133
         118     1.06285     1.11442  0.00203233
         119     1.06186     1.11398   0.0020627
         120      1.0609     1.11354  0.00209239
         121        1.06      1.1131  0.00212137
         122     1.05913     1.11265  0.00214961
         123     1.05831     1.11221  0.00217706
         124     1.05753     1.11177  0.00220371
         125      1.0568     1.11133  0.00222952
         126     1.05612     1.11089  0.00225448
         127     1.05548     1.11046  0.00227856
         128     1.05488     1.11002  0.00230175
         129     1.05433     1.10959  0.00232404
         130     1.05382     1.10916  0.00234542
         131     1.05336     1.10873  0.00236588
         132     1.05293     1.10831  0.00238543
         133     1.05255     1.10789  0.00240405
         134     1.05221     1.10748  0.00242176
         135      1.0519     1.10707  0.00243856
         136     1.05164     1.10666  0.00245445
         137      1.0514     1.10625  0.00246945
         138      1.0512     1.10586  0.00248357
         139     1.05104     1.10546  0.00249681
         140      1.0509     1.10507  0.00250921
         141     1.05079     1.10469  0.00252077
         142     1.05071     1.10431  0.00253152
         143     1.05065     1.10393  0.00254146
         144     1.05062     1.10356  0.00255064
         145     1.05061      1.1032  0.00255906
         146     1.05062     1.10284  0.00256675
         147     1.05064     1.10248  0.00257373
         148     1.05068     1.10213  0.00258002
         149     1.05074     1.10179  0.00258566
         150      1.0508     1.10145  0.00259067
         151     1.05088     1.10111  0.00259506
         152     1.05097     1.10078  0.00259887
         153     1.05107     1.10046  0.00260212
         154     1.05117     1.10014  0.00260483
         155     1.05127     1.09982  0.00260703
         156     1.05138     1.09951  0.00260875
         157     1.05149      1.0992     0.00261
         158      1.0516      1.0989  0.00261081
         159     1.05171     1.09861  0.00261121
         160     1.05182     1.09831  0.00261121
         161     1.05193     1.09803  0.00261083
         162     1.05204     1.09774   0.0026101
         163     1.05214     1.09746  0.00260904
         164     1.05223     1.09719  0.00260767
         165     1.05232     1.09691  0.00260601
         166      1.0524     1.09665  0.00260407
         167     1.05247     1.09638  0.00260188
         168     1.05254     1.09612  0.00259945
         169     1.05259     1.09586   0.0025968
         170     1.05264     1.09561  0.00259394
         171     1.05268     1.09536  0.00259089
         172     1.05271     1.09511  0.00258767
         173     1.05273     1.09487  0.00258428
         174     1.05274     1.09462  0.00258074
         175     1.05274     1.09438  0.00257707
         176     1.05273     1.09415  0.00257327
         177     1.05271     1.09391  0.00256936
         178     1.05268     1.09368  0.00256535
         179     1.05265     1.09345  0.00256124
         180      1.0526     1.09323  0.00255704
         181     1.05255       1.093  0.00255277
         182      1.0525     1.09278  0.00254842
         183     1.05243     1.09256  0.00254402
         184     1.05236     1.09234  0.00253955
         185     1.05229     1.09212  0.00253504
         186     1.05221     1.09191  0.00253047
         187     1.05214      1.0917  0.00252586
         188     1.05206     1.09148  0.00252121
         189     1.05198     1.09128  0.00251652
         190      1.0519     1.09107   0.0025118
         191     1.05183     1.09086  0.00250703
         192     1.05176     1.09066  0.00250224
         193      1.0517     1.09046   0.0024974
         194     1.05164     1.09026  0.00249253
         195      1.0516     1.09006  0.00248762
         196     1.05157     1.08986  0.00248266
         197     1.05156     1.08967  0.00247766
         198     1.05156     1.08948  0.00247262
         199     1.05158     1.08929  0.00246751
         200     1.05162      1.0891  0.00246235
         201     1.05169     1.08891  0.00245712
         202     1.05178     1.08873  0.00245182
         203     1.05191     1.08855  0.00244645
         204     1.05206     1.08837  0.00244098
         205     1.05225     1.08819  0.00243542
         206     1.05248     1.08802  0.00242976
         207     1.05274     1.08785  0.00242399
         208     1.05305     1.08768  0.00241811
         209      1.0534     1.08752  0.00241209
         210      1.0538     1.08736  0.00240594
         211     1.05425      1.0872  0.00239965
         212     1.05476     1.08705  0.00239321
         213     1.05531      1.0869   0.0023866
         214     1.05593     1.08675  0.00237983
         215      1.0566     1.08661  0.00237289
         216     1.05734     1.08648  0.00236577
         217     1.05814     1.08635  0.00235847
         218     1.05901     1.08622  0.00235098
         219     1.05995      1.0861   0.0023433
         220     1.06095     1.08599  0.00233544
         221     1.06203     1.08588  0.00232739
         222     1.06318     1.08577  0.00231915
         223      1.0644     1.08568  0.00231073
         224      1.0657     1.08559  0.00230213
         225     1.06708     1.08551  0.00229337
         226     1.06853     1.08543  0.00228445
         227     1.07006     1.08536  0.00227539
         228     1.07167      1.0853   0.0022662
         229     1.07335     1.08525  0.00225691
         230     1.07511     1.08521  0.00224753
         231     1.07694     1.08517  0.00223808
         232     1.07885     1.08515   0.0022286
         233     1.08083     1.08513  0.00221911
         234     1.08289     1.08512  0.00220965
         235     1.08501     1.08512  0.00220025
         236     1.08721     1.08513  0.00219094
         237     1.08947     1.08514  0.00218178
         238      1.0918     1.08517  0.00217279
         239     1.09419     1.08521  0.00216402
         240     1.09664     1.08526  0.00215553
         241     1.09915     1.08531  0.00214736
         242     1.10171     1.08538  0.00213955
         243     1.10433     1.08546  0.00213217
         244     1.10699     1.08555  0.00212525
         245      1.1097     1.08565  0.00211886
         246     1.11245     1.08576  0.00211305
         247     1.11523     1.08588  0.00210786
         248     1.11805     1.08601  0.00210335
         249      1.1209     1.08615  0.00209957
         250     1.12378      1.0863  0.00209656
         251     1.12668     1.08646  0.00209437
         252      1.1296     1.08663  0.00209305
         253     1.13253     1.08681  0.00209262
         254     1.13547       1.087  0.00209313
         255     1.13842      1.0872  0.00209461
         256     1.14137     1.08741  0.00209709
         257     1.14432     1.08764  0.00210059
         258     1.14726     1.08787  0.00210512
         259     1.15019     1.08811   0.0021107
         260      1.1531     1.08836  0.00211733
         261       1.156     1.08862  0.00212502
         262     1.15887     1.08888  0.00213376
         263     1.16172     1.08916  0.00214354
         264     1.16454     1.08945  0.00215435
         265     1.16732     1.08974  0.00216617
         266     1.17007     1.09004  0.00217898
         267     1.17277     1.09035  0.00219273
         268     1.17543     1.09067  0.00220741
         269     1.17805       1.091  0.00222298
         270     1.18061     1.09133  0.00223939
         271     1.18313     1.09167   0.0022566
         272     1.18558     1.09201  0.00227457
         273     1.18798     1.09236  0.00229324
         274     1.19032     1.09272  0.00231257
         275      1.1926     1.09308  0.00233251
         276     1.19482     1.09345    0.002353
         277     1.19697     1.09383    0.002374
         278     1.19905      1.0942  0.00239544
         279     1.20107     1.09459  0.00241729
         280     1.20301     1.09497  0.00243947
         281     1.20489     1.09537  0.00246195
         282      1.2067     1.09576  0.00248467
         283     1.20844     1.09616  0.00250759
         284     1.21011     1.09656  0.00253065
         285     1.21171     1.09696  0.00255382
