#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.77714    -3.77714           0
           2    -3.77684    -3.77699 0.000104754
           3     -3.7767    -3.77689 0.000106267
           4    -3.77655    -3.77681 0.000108984
           5    -3.77655    -3.77676 9.84098e-05
           6     -3.7764     -3.7767 9.81051e-05
           7     -3.7764    -3.77666 9.26465e-05
           8     -3.7764    -3.77662 8.62664e-05
           9    -3.77671    -3.77663 7.71436e-05
          10     -3.7767    -3.77664 6.97418e-05
          11     -3.7767    -3.77665 6.36126e-05
          12    -3.77654    -3.77664 5.88648e-05
          13    -3.77639    -3.77662 5.73442e-05
          14    -3.77623    -3.77659 5.94704e-05
          15    -3.77638    -3.77658 5.71637e-05
          16    -3.77637    -3.77656 5.50054e-05
          17    -3.77682    -3.77658 5.37747e-05
          18    -3.77666    -3.77658 5.09771e-05
          19     -3.7765    -3.77658 4.84783e-05
          20    -3.77649    -3.77657 4.62476e-05
          21    -3.77633    -3.77656 4.54554e-05
          22    -3.77617    -3.77655  4.6702e-05
          23    -3.77602    -3.77652 5.00401e-05
          24    -3.77601     -3.7765 5.23614e-05
          25      -3.776    -3.77648 5.39839e-05
          26    -3.77554    -3.77644 6.29248e-05
          27    -3.77553    -3.77641 6.90957e-05
          28    -3.77552    -3.77638 7.35315e-05
          29    -3.77567    -3.77635 7.49756e-05
          30    -3.77596    -3.77634 7.36003e-05
          31    -3.77596    -3.77633 7.22611e-05
          32    -3.77595    -3.77632 7.09585e-05
          33    -3.77564     -3.7763 7.16751e-05
          34    -3.77519    -3.77626 7.66172e-05
          35    -3.77504    -3.77623 8.20735e-05
          36    -3.77503     -3.7762 8.62516e-05
          37    -3.77503    -3.77616 8.94781e-05
          38    -3.77518    -3.77614 9.07892e-05
          39    -3.77503    -3.77611 9.28142e-05
          40    -3.77503    -3.77608 9.43543e-05
          41    -3.77488    -3.77605 9.65338e-05
          42    -3.77457    -3.77602 0.000100457
          43    -3.77488    -3.77599 0.000101566
          44    -3.77503    -3.77597 0.000101589
          45    -3.77503    -3.77595 0.000101462
          46    -3.77473    -3.77592  0.00010268
          47    -3.77473     -3.7759 0.000103601
          48    -3.77473    -3.77587 0.000104277
          49    -3.77518    -3.77586 0.000103109
          50    -3.77533    -3.77585 0.000101596
          51    -3.77532    -3.77584 0.000100126
          52    -3.77577    -3.77584 9.82083e-05
          53    -3.77577    -3.77584 9.63644e-05
          54    -3.77591    -3.77584 9.45895e-05
          55    -3.77575    -3.77583 9.28833e-05
          56    -3.77589    -3.77584 9.12296e-05
          57    -3.77588    -3.77584 8.96317e-05
          58    -3.77571    -3.77583 8.81132e-05
          59    -3.77584    -3.77583 8.66198e-05
          60    -3.77613    -3.77584 8.53136e-05
          61    -3.77626    -3.77585 8.41908e-05
          62    -3.77578    -3.77585 8.28392e-05
          63    -3.77606    -3.77585 8.15944e-05
          64    -3.77618    -3.77585 8.04873e-05
          65      -3.776    -3.77586 7.92818e-05
          66    -3.77567    -3.77585  7.8131e-05
          67    -3.77564    -3.77585 7.70326e-05
          68     -3.7756    -3.77585 7.59882e-05
          69    -3.77556    -3.77584 7.49992e-05
          70    -3.77567    -3.77584  7.3967e-05
          71    -3.77593    -3.77584 7.29368e-05
          72    -3.77589    -3.77584 7.19268e-05
          73    -3.77599    -3.77584 7.09718e-05
          74    -3.77565    -3.77584 7.00634e-05
          75     -3.7756    -3.77584 6.92046e-05
          76    -3.77555    -3.77583 6.83992e-05
          77    -3.77535    -3.77583 6.78029e-05
          78    -3.77515    -3.77582 6.74952e-05
          79    -3.77494    -3.77581 6.75456e-05
          80    -3.77504     -3.7758 6.73763e-05
          81    -3.77529    -3.77579 6.68335e-05
          82    -3.77524    -3.77579 6.63559e-05
          83    -3.77519    -3.77578 6.59435e-05
          84    -3.77529    -3.77577 6.54129e-05
          85    -3.77539    -3.77577 6.47954e-05
          86    -3.77519    -3.77576 6.43847e-05
          87    -3.77545    -3.77576 6.37445e-05
          88     -3.7754    -3.77575 6.31466e-05
          89    -3.77521    -3.77575 6.27319e-05
          90    -3.77502    -3.77574 6.25553e-05
          91    -3.77513    -3.77573  6.2223e-05
          92     -3.7751    -3.77573 6.19294e-05
          93    -3.77491    -3.77572 6.18767e-05
          94    -3.77504    -3.77571 6.16405e-05
          95    -3.77471     -3.7757 6.18847e-05
          96    -3.77484    -3.77569 6.18849e-05
          97    -3.77482    -3.77568 6.18917e-05
          98    -3.77466    -3.77567 6.21373e-05
          99     -3.7748    -3.77566 6.21312e-05
         100    -3.77494    -3.77566 6.19235e-05
         101    -3.77494    -3.77565  6.1711e-05
         102    -3.77495    -3.77564 6.14887e-05
         103     -3.7748    -3.77563 6.14281e-05
         104    -3.77481    -3.77563 6.13402e-05
         105    -3.77498    -3.77562 6.10622e-05
         106     -3.7747    -3.77561 6.10997e-05
         107    -3.77533    -3.77561 6.05853e-05
         108    -3.77521     -3.7756 6.01377e-05
         109    -3.77539     -3.7756 5.96176e-05
         110    -3.77543     -3.7756 5.90965e-05
         111    -3.77532     -3.7756 5.86191e-05
         112    -3.77551     -3.7756 5.81006e-05
         113    -3.77571     -3.7756 5.75953e-05
         114    -3.77576     -3.7756 5.71082e-05
         115    -3.77582     -3.7756 5.66428e-05
         116    -3.77587     -3.7756 5.62028e-05
         117    -3.77578    -3.77561 5.57427e-05
         118    -3.77584    -3.77561 5.53061e-05
         119    -3.77605    -3.77561 5.49691e-05
         120    -3.77567    -3.77561  5.4513e-05
         121    -3.77573    -3.77561 5.40716e-05
         122     -3.7755    -3.77561 5.36367e-05
         123    -3.77572    -3.77561 5.32073e-05
         124    -3.77578    -3.77561 5.27959e-05
         125     -3.7757    -3.77561 5.23781e-05
         126    -3.77577    -3.77562 5.19765e-05
         127    -3.77614    -3.77562 5.17288e-05
         128     -3.7762    -3.77562  5.1525e-05
         129    -3.77597    -3.77563 5.11937e-05
         130    -3.77618    -3.77563 5.09775e-05
         131    -3.77655    -3.77564 5.10653e-05
         132    -3.77661    -3.77565  5.1204e-05
         133    -3.77652    -3.77565  5.1236e-05
         134    -3.77673    -3.77566  5.1476e-05
         135    -3.77678    -3.77567 5.17596e-05
         136    -3.77698    -3.77568 5.22758e-05
         137    -3.77688    -3.77569 5.26298e-05
         138    -3.77708     -3.7757 5.32124e-05
         139    -3.77698    -3.77571 5.36219e-05
         140    -3.77702    -3.77572  5.4055e-05
         141    -3.77736    -3.77573 5.49202e-05
         142     -3.7774    -3.77574 5.57833e-05
         143    -3.77759    -3.77575 5.68694e-05
         144    -3.77747    -3.77576 5.77091e-05
         145     -3.7772    -3.77577  5.8149e-05
         146    -3.77722    -3.77578 5.85908e-05
         147     -3.7774    -3.77579 5.92114e-05
         148    -3.77727     -3.7758  5.9642e-05
         149    -3.77714    -3.77581 5.99068e-05
         150      -3.777    -3.77582 6.00279e-05
         151    -3.77686    -3.77583 6.00256e-05
         152    -3.77672    -3.77583  5.9919e-05
         153    -3.77673    -3.77584 5.98144e-05
         154    -3.77674    -3.77585 5.97104e-05
         155    -3.77659    -3.77585 5.95196e-05
         156    -3.77645    -3.77585 5.92602e-05
         157    -3.77675    -3.77586 5.91565e-05
         158     -3.7769    -3.77587 5.91472e-05
         159     -3.7769    -3.77587   5.913e-05
         160     -3.7769    -3.77588 5.91042e-05
         161    -3.77689    -3.77589  5.9069e-05
         162    -3.77718    -3.77589  5.9246e-05
         163    -3.77687     -3.7759 5.91871e-05
         164    -3.77702    -3.77591 5.92162e-05
         165    -3.77716    -3.77591 5.93398e-05
         166     -3.7773    -3.77592 5.95635e-05
         167    -3.77759    -3.77593 6.00344e-05
         168    -3.77742    -3.77594 6.03291e-05
         169    -3.77741    -3.77595 6.05947e-05
         170     -3.7774    -3.77596 6.08324e-05
         171    -3.77738    -3.77597 6.10435e-05
         172    -3.77752    -3.77598 6.13516e-05
         173    -3.77766    -3.77599 6.17601e-05
         174    -3.77749    -3.77599 6.20074e-05
         175    -3.77733      -3.776 6.21176e-05
         176    -3.77731    -3.77601 6.22085e-05
         177     -3.7773    -3.77602 6.22811e-05
         178    -3.77759    -3.77603 6.25524e-05
         179    -3.77742    -3.77603 6.26887e-05
         180    -3.77726    -3.77604 6.27107e-05
         181     -3.7774    -3.77605 6.28141e-05
         182    -3.77754    -3.77606 6.30048e-05
         183    -3.77754    -3.77606 6.31779e-05
         184    -3.77738    -3.77607 6.32372e-05
         185    -3.77737    -3.77608 6.32861e-05
         186    -3.77737    -3.77609 6.33259e-05
         187    -3.77752    -3.77609 6.34501e-05
         188    -3.77782     -3.7761 6.37761e-05
         189    -3.77783    -3.77611  6.4087e-05
         190    -3.77783    -3.77612 6.43853e-05
         191    -3.77784    -3.77613 6.46735e-05
         192     -3.7777    -3.77614 6.48502e-05
         193    -3.77756    -3.77614 6.49311e-05
         194    -3.77757    -3.77615 6.50133e-05
         195    -3.77774    -3.77616 6.51904e-05
         196    -3.77807    -3.77617 6.55803e-05
         197    -3.77809    -3.77618   6.597e-05
         198    -3.77812    -3.77619 6.63618e-05
         199    -3.77815     -3.7762 6.67586e-05
         200    -3.77849    -3.77621  6.7402e-05
         201    -3.77868    -3.77622 6.81797e-05
         202    -3.77888    -3.77624 6.90971e-05
         203    -3.77877    -3.77625 6.98785e-05
         204    -3.77898    -3.77626 7.08032e-05
         205    -3.77903    -3.77628 7.17343e-05
         206    -3.77894    -3.77629 7.25419e-05
         207    -3.77885     -3.7763 7.32404e-05
         208    -3.77862    -3.77631 7.37293e-05
         209    -3.77854    -3.77632 7.41404e-05
         210    -3.77876    -3.77633 7.46919e-05
         211    -3.77884    -3.77635 7.52767e-05
         212    -3.77892    -3.77636 7.58968e-05
         213    -3.77916    -3.77637 7.66719e-05
         214     -3.7791    -3.77638 7.73655e-05
         215    -3.77919     -3.7764 7.80998e-05
         216    -3.77899    -3.77641 7.86525e-05
         217    -3.77909    -3.77642 7.92509e-05
         218    -3.77919    -3.77643  7.9896e-05
         219    -3.77914    -3.77645 8.04808e-05
         220    -3.77955    -3.77646 8.13413e-05
         221    -3.77981    -3.77648 8.23723e-05
         222    -3.78007    -3.77649 8.35789e-05
         223    -3.78018    -3.77651 8.48286e-05
         224       -3.78    -3.77652 8.58672e-05
