#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1    0.611416    0.611416           0
           2    0.616711    0.614063    0.001872
           3    0.613007    0.613711  0.00128065
           4    0.612807    0.613485 0.000980233
           5    0.615747    0.613937 0.000882394
           6     0.61418    0.613978 0.000736253
           7    0.612787    0.613808 0.000650435
           8    0.612718    0.613672 0.000583216
           9    0.616718     0.61401 0.000608755
          10    0.612222    0.613831 0.000573529
          11    0.614256     0.61387 0.000522686
          12    0.615666     0.61402 0.000500101
          13    0.612361    0.613892 0.000477624
          14     0.61319    0.613842 0.000446134
          15    0.617682    0.614098 0.000484318
          16    0.612952    0.614026  0.00045931
          17    0.609974    0.613788 0.000490248
          18    0.609266    0.613537 0.000523446
          19    0.614102    0.613566 0.000496741
          20    0.614017    0.613589 0.000472415
