#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.20158     1.20158           0
           2     1.20795     1.20477  0.00225159
           3     1.21051     1.20668   0.0021669
           4     1.20574     1.20645  0.00163788
           5     1.21026     1.20721  0.00147724
           6     1.20888     1.20749  0.00125689
           7     1.20869     1.20766  0.00108903
           8     1.20565     1.20741 0.000981347
           9     1.21015     1.20771 0.000918485
          10     1.20812     1.20775 0.000827548
          11      1.2076     1.20774 0.000752441
          12     1.20126      1.2072 0.000862049
          13     1.20228     1.20682 0.000874758
          14     1.21182     1.20718 0.000882099
          15     1.21093     1.20743 0.000857951
          16     1.20513     1.20728 0.000816272
          17     1.20119     1.20693 0.000843328
          18      1.2121     1.20721  0.00084406
          19     1.20392     1.20704 0.000817287
          20      1.2086     1.20712 0.000780134
