#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.65064    -6.65064           0
           2    -6.65715     -6.6539  0.00230207
           3     -6.6581     -6.6553   0.0019142
           4    -6.65342    -6.65483  0.00149209
           5     -6.6584    -6.65554  0.00135413
           6    -6.65661    -6.65572  0.00114008
           7    -6.65588    -6.65574  0.00097744
           8    -6.65338    -6.65545  0.00089875
           9    -6.65709    -6.65563 0.000817248
          10     -6.6568    -6.65575 0.000743861
          11    -6.65575    -6.65575 0.000676238
          12    -6.64906    -6.65519 0.000817762
          13    -6.65058    -6.65484 0.000828205
          14    -6.65984    -6.65519 0.000842791
          15    -6.65858    -6.65542 0.000816233
          16     -6.6524    -6.65523 0.000786724
          17    -6.64831    -6.65482 0.000839087
          18    -6.66024    -6.65512 0.000844649
          19    -6.65096     -6.6549 0.000828149
          20    -6.65599    -6.65496 0.000788522
