#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.962609    0.962609           0
           2    0.966976    0.964792  0.00154404
           3     0.96873    0.966105  0.00148597
           4    0.965257    0.965893  0.00112948
           5    0.968425    0.966399   0.0010108
           6    0.967447    0.966574 0.000857293
           7    0.967418    0.966694 0.000743247
           8    0.965295    0.966519 0.000670622
           9    0.968359    0.966724 0.000626494
          10     0.96699    0.966751 0.000564409
          11    0.966734    0.966749 0.000513101
          12    0.962377    0.966385 0.000585561
          13    0.963047    0.966128 0.000594152
          14    0.969689    0.966382 0.000603705
          15    0.968847    0.966547 0.000585387
          16    0.965004     0.96645 0.000556685
          17     0.96233    0.966208 0.000574277
          18     0.96972    0.966403 0.000574573
          19    0.964308    0.966293 0.000554812
          20    0.967551    0.966356 0.000530625
