#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.801056    0.801056           0
           2    0.805301    0.803178  0.00150106
           3    0.807006    0.804454   0.0014446
           4    0.803828    0.804298  0.00109192
           5     0.80684    0.804806 0.000984825
           6    0.805918    0.804991 0.000837924
           7    0.805794    0.805106 0.000726017
           8    0.803769    0.804939 0.000654231
           9    0.806769    0.805142 0.000612323
          10    0.805415    0.805169 0.000551699
          11    0.805064     0.80516 0.000501628
          12    0.800839      0.8048 0.000574699
          13    0.801522    0.804548 0.000583172
          14    0.807879    0.804786 0.000588066
          15    0.807284    0.804952 0.000571967
          16     0.80342    0.804856 0.000544181
          17    0.800793    0.804617 0.000562219
          18    0.808067    0.804809 0.000562707
          19     0.80261    0.804693 0.000544858
          20    0.805733    0.804745  0.00052009
