#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.45147    -5.45147           0
           2    -5.45116    -5.45131 0.000107685
           3     -5.4515    -5.45138 8.82878e-05
           4    -5.45152    -5.45141  7.2867e-05
           5    -5.45121    -5.45137 6.90327e-05
           6    -5.45186    -5.45145 9.42952e-05
           7    -5.45187    -5.45151 9.77323e-05
           8    -5.45187    -5.45156 9.52755e-05
           9    -5.45187    -5.45159 9.08615e-05
          10    -5.45219    -5.45165 9.96402e-05
          11    -5.45186    -5.45167 9.24039e-05
          12    -5.45218    -5.45171 9.38527e-05
          13    -5.45184    -5.45172 8.71521e-05
          14    -5.45215    -5.45175 8.61149e-05
          15    -5.45181    -5.45176  8.0456e-05
          16    -5.45179    -5.45176 7.54515e-05
          17    -5.45144    -5.45174 7.33063e-05
          18    -5.45044    -5.45167 9.85202e-05
          19    -5.45009    -5.45159 0.000123496
          20    -5.45006    -5.45151 0.000138964
          21    -5.45002    -5.45144 0.000149284
          22    -5.44999    -5.45137 0.000156413
          23    -5.44995    -5.45131 0.000161424
          24    -5.44991    -5.45125 0.000164972
          25    -5.44986     -5.4512 0.000167501
          26    -5.44981    -5.45114 0.000169284
          27    -5.45009     -5.4511 0.000167452
          28    -5.45004    -5.45107  0.00016573
          29    -5.45031    -5.45104 0.000162035
          30    -5.45091    -5.45104 0.000156694
          31    -5.45085    -5.45103 0.000151748
          32    -5.45015      -5.451 0.000149463
          33    -5.45042    -5.45098 0.000145978
          34    -5.44939    -5.45094 0.000149048
          35    -5.44965     -5.4509 0.000149248
          36    -5.44959    -5.45086 0.000149472
          37    -5.44888    -5.45081 0.000154738
          38    -5.44882    -5.45076 0.000159287
          39    -5.44843     -5.4507 0.000165977
          40     -5.4487    -5.45065 0.000169211
          41    -5.44896    -5.45061 0.000170035
          42    -5.44825    -5.45055 0.000175013
          43    -5.44851     -5.4505 0.000177253
          44    -5.44845    -5.45046 0.000179259
          45    -5.44742    -5.45039 0.000187537
          46    -5.44672    -5.45031 0.000199734
          47    -5.44731    -5.45025 0.000205452
          48    -5.44693    -5.45018 0.000212495
          49    -5.44655     -5.4501 0.000220695
          50    -5.44617    -5.45002 0.000229879
          51    -5.44612    -5.44995   0.0002378
          52    -5.44607    -5.44987 0.000244664
          53    -5.44634    -5.44981 0.000248953
          54    -5.44662    -5.44975 0.000251242
          55    -5.44625    -5.44968  0.00025459
          56    -5.44653    -5.44963 0.000256188
          57    -5.44585    -5.44956 0.000260144
          58    -5.44581     -5.4495  0.00026358
          59    -5.44577    -5.44943 0.000266553
          60    -5.44607    -5.44938 0.000267946
          61    -5.44636    -5.44933 0.000268067
          62    -5.44634    -5.44928 0.000268039
          63    -5.44632    -5.44923 0.000267869
          64     -5.4463    -5.44919 0.000267564
          65    -5.44597    -5.44914 0.000267995
          66    -5.44693     -5.4491 0.000266014
          67    -5.44692    -5.44907 0.000264026
          68    -5.44725    -5.44904 0.000261504
          69    -5.44693    -5.44901 0.000259512
          70    -5.44758    -5.44899 0.000256612
          71    -5.44759    -5.44897 0.000253758
          72    -5.44696    -5.44895 0.000251774
          73    -5.44698    -5.44892 0.000249767
          74    -5.44667    -5.44889 0.000248227
          75    -5.44605    -5.44885 0.000247778
          76    -5.44447    -5.44879 0.000251143
          77    -5.44385    -5.44873 0.000255941
          78    -5.44389    -5.44867 0.000260059
          79    -5.44329     -5.4486 0.000265524
          80    -5.44269    -5.44852 0.000272284
          81    -5.44209    -5.44845 0.000280263
          82    -5.44215    -5.44837 0.000287181
          83    -5.44188    -5.44829 0.000294172
          84    -5.44226    -5.44822 0.000299289
          85      -5.442    -5.44815  0.00030457
          86    -5.44207    -5.44807 0.000309112
          87    -5.44246    -5.44801 0.000312215
          88    -5.44254    -5.44795 0.000314805
          89    -5.44293    -5.44789 0.000316272
          90    -5.44301    -5.44784  0.00031738
          91    -5.44276    -5.44778 0.000318757
          92    -5.44284    -5.44773 0.000319785
          93    -5.44227    -5.44767 0.000321682
          94    -5.44235    -5.44761 0.000323192
          95    -5.44211    -5.44755 0.000324937
          96    -5.44252     -5.4475 0.000325761
          97    -5.44292    -5.44746 0.000325806
          98      -5.443    -5.44741 0.000325631
          99    -5.44244    -5.44736 0.000326189
         100    -5.44252    -5.44731 0.000326498
         101     -5.4426    -5.44726 0.000326583
         102    -5.44268    -5.44722 0.000326464
         103    -5.44372    -5.44719 0.000325054
         104    -5.44412    -5.44716  0.00032326
         105    -5.44452    -5.44713 0.000321155
         106    -5.44459    -5.44711 0.000319018
         107    -5.44466    -5.44708 0.000316858
         108    -5.44569    -5.44707 0.000314186
         109    -5.44575    -5.44706 0.000311536
         110    -5.44484    -5.44704 0.000309356
         111    -5.44489    -5.44702 0.000307173
         112    -5.44494      -5.447  0.00030499
         113    -5.44499    -5.44698 0.000302811
         114    -5.44535    -5.44697 0.000300493
         115    -5.44539    -5.44696 0.000298194
         116    -5.44639    -5.44695 0.000295663
         117    -5.44642    -5.44695 0.000293171
         118    -5.44612    -5.44694  0.00029077
         119    -5.44614    -5.44693 0.000288405
         120    -5.44647    -5.44693 0.000286027
         121    -5.44745    -5.44693 0.000283696
         122    -5.44713    -5.44693 0.000281375
         123    -5.44713    -5.44694 0.000279092
         124    -5.44712    -5.44694 0.000276846
         125    -5.44679    -5.44694 0.000274633
         126    -5.44709    -5.44694 0.000272457
         127     -5.4461    -5.44693 0.000270391
         128    -5.44607    -5.44692 0.000268361
         129    -5.44572    -5.44691 0.000266443
         130    -5.44633    -5.44691 0.000264431
         131    -5.44597     -5.4469 0.000262511
         132    -5.44527    -5.44689 0.000260812
         133    -5.44522    -5.44688 0.000259152
         134    -5.44517    -5.44687 0.000257532
         135    -5.44511    -5.44685 0.000255952
         136    -5.44569    -5.44684 0.000254212
         137    -5.44595    -5.44684  0.00025244
         138    -5.44621    -5.44683 0.000250652
         139    -5.44484    -5.44682 0.000249259
         140    -5.44509    -5.44681 0.000247785
         141    -5.44501    -5.44679 0.000246354
         142    -5.44461    -5.44678   0.0002451
         143     -5.4442    -5.44676 0.000244047
         144    -5.44412    -5.44674 0.000243041
         145    -5.44339    -5.44672 0.000242464
         146     -5.4433    -5.44669 0.000241931
         147    -5.44289    -5.44667 0.000241666
