#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.18213     1.18213           0
           2     1.18304     1.18258 0.000323041
           3     1.18397     1.18305 0.000435219
           4     1.18492     1.18352 0.000521128
           5     1.18589     1.18399 0.000594805
           6     1.18686     1.18447 0.000660853
           7     1.18785     1.18495 0.000721454
           8     1.18884     1.18544 0.000777772
           9     1.18983     1.18593 0.000830516
          10     1.19082     1.18642 0.000880112
          11     1.19181     1.18691 0.000926841
          12      1.1928      1.1874  0.00097093
          13     1.19377     1.18789  0.00101252
          14     1.19473     1.18838  0.00105169
          15     1.19568     1.18886  0.00108852
          16     1.19661     1.18935  0.00112306
          17     1.19752     1.18983  0.00115532
          18     1.19841     1.19031  0.00118532
          19     1.19926     1.19078  0.00121308
          20     1.20009     1.19124  0.00123863
          21     1.20089      1.1917  0.00126194
          22     1.20165     1.19215  0.00128305
          23     1.20238      1.1926  0.00130196
          24     1.20306     1.19303  0.00131868
          25      1.2037     1.19346  0.00133322
          26      1.2043     1.19388  0.00134558
          27     1.20486     1.19428  0.00135578
          28     1.20536     1.19468  0.00136382
          29     1.20581     1.19506  0.00136975
          30     1.20621     1.19544   0.0013736
          31     1.20656     1.19579   0.0013754
          32     1.20686     1.19614  0.00137521
          33      1.2071     1.19647  0.00137307
          34     1.20729     1.19679  0.00136902
          35     1.20741     1.19709  0.00136312
          36     1.20748     1.19738  0.00135542
          37     1.20748     1.19766  0.00134599
          38     1.20742     1.19791  0.00133489
          39     1.20731     1.19815  0.00132221
          40     1.20712     1.19838  0.00130804
          41     1.20688     1.19859  0.00129247
          42     1.20658     1.19878  0.00127563
          43     1.20621     1.19895  0.00125763
          44     1.20578      1.1991   0.0012386
          45      1.2053     1.19924   0.0012187
          46     1.20475     1.19936  0.00119807
          47     1.20415     1.19946   0.0011769
          48     1.20349     1.19955  0.00115536
          49     1.20277     1.19961  0.00113365
          50     1.20199     1.19966  0.00111198
          51     1.20117     1.19969  0.00109057
          52     1.20029      1.1997  0.00106966
          53     1.19936     1.19969  0.00104949
          54     1.19838     1.19967  0.00103034
          55     1.19736     1.19963  0.00101247
          56     1.19629     1.19957 0.000996143
          57     1.19518     1.19949 0.000981642
          58     1.19403      1.1994 0.000969228
          59     1.19284     1.19929 0.000959149
          60     1.19162     1.19916 0.000951633
          61     1.19037     1.19901 0.000946873
          62     1.18909     1.19885 0.000945025
          63     1.18779     1.19868 0.000946198
          64     1.18647     1.19849 0.000950447
          65     1.18513     1.19828 0.000957775
          66     1.18378     1.19806 0.000968133
          67     1.18242     1.19783 0.000981421
          68     1.18106     1.19758 0.000997495
          69     1.17969     1.19732  0.00101617
          70     1.17833     1.19705  0.00103725
          71     1.17698     1.19677  0.00106048
          72     1.17563     1.19648  0.00108563
          73      1.1743     1.19617  0.00111244
          74     1.17299     1.19586  0.00114066
          75      1.1717     1.19554  0.00117004
          76     1.17044     1.19521  0.00120033
          77     1.16921     1.19487   0.0012313
          78     1.16802     1.19452  0.00126272
          79     1.16686     1.19417  0.00129436
          80     1.16575     1.19382  0.00132604
          81     1.16469     1.19346  0.00135755
          82     1.16368      1.1931  0.00138872
          83     1.16272     1.19273  0.00141939
          84     1.16182     1.19236   0.0014494
          85     1.16098     1.19199  0.00147861
          86     1.16021     1.19162   0.0015069
          87      1.1595     1.19125  0.00153415
          88     1.15886     1.19089  0.00156025
          89      1.1583     1.19052  0.00158511
          90      1.1578     1.19016  0.00160864
          91     1.15738      1.1898  0.00163078
          92     1.15704     1.18944  0.00165146
          93     1.15678     1.18909  0.00167062
          94      1.1566     1.18874  0.00168822
          95      1.1565      1.1884  0.00170422
          96     1.15648     1.18807   0.0017186
          97     1.15655     1.18775  0.00173134
          98     1.15669     1.18743  0.00174243
          99     1.15692     1.18712  0.00175187
         100     1.15723     1.18682  0.00175967
         101     1.15762     1.18653  0.00176584
         102     1.15809     1.18626  0.00177042
         103     1.15864     1.18599  0.00177342
         104     1.15926     1.18573  0.00177489
         105     1.15996     1.18548  0.00177488
         106     1.16072     1.18525  0.00177344
         107     1.16157     1.18503  0.00177063
         108     1.16247     1.18482  0.00176651
         109     1.16344     1.18462  0.00176116
         110     1.16447     1.18444  0.00175465
         111     1.16556     1.18427  0.00174707
         112      1.1667     1.18411   0.0017385
         113     1.16789     1.18397  0.00172903
         114     1.16913     1.18384  0.00171876
         115      1.1704     1.18372  0.00170778
         116     1.17171     1.18362   0.0016962
         117     1.17305     1.18353   0.0016841
         118     1.17442     1.18345   0.0016716
         119     1.17582     1.18339  0.00165878
         120     1.17723     1.18334  0.00164575
         121     1.17865      1.1833  0.00163261
         122     1.18007     1.18327  0.00161944
         123     1.18151     1.18326  0.00160634
         124     1.18294     1.18326  0.00159338
         125     1.18436     1.18326  0.00158066
         126     1.18577     1.18328  0.00156824
         127     1.18717     1.18331  0.00155619
         128     1.18854     1.18336  0.00154457
         129     1.18988     1.18341  0.00153342
         130     1.19119     1.18347   0.0015228
         131     1.19247     1.18353  0.00151272
         132      1.1937     1.18361  0.00150322
         133     1.19489      1.1837  0.00149431
         134     1.19603     1.18379  0.00148599
         135     1.19711     1.18389  0.00147825
         136     1.19814     1.18399  0.00147109
         137      1.1991      1.1841  0.00146448
         138     1.19999     1.18422  0.00145839
         139     1.20082     1.18434  0.00145277
         140     1.20157     1.18446   0.0014476
         141     1.20225     1.18459  0.00144282
         142     1.20285     1.18471  0.00143838
         143     1.20337     1.18484  0.00143422
         144     1.20381     1.18498   0.0014303
         145     1.20416     1.18511  0.00142654
         146     1.20443     1.18524  0.00142289
         147     1.20462     1.18537  0.00141931
         148     1.20471      1.1855  0.00141572
         149     1.20473     1.18563  0.00141208
         150     1.20465     1.18576  0.00140835
         151     1.20449     1.18588  0.00140447
         152     1.20424       1.186  0.00140042
         153     1.20391     1.18612  0.00139614
         154     1.20349     1.18623  0.00139162
         155     1.20299     1.18634  0.00138684
         156     1.20241     1.18644  0.00138176
         157     1.20175     1.18654   0.0013764
         158     1.20102     1.18663  0.00137073
         159     1.20021     1.18672  0.00136477
         160     1.19933      1.1868  0.00135851
         161     1.19839     1.18687  0.00135198
         162     1.19739     1.18694  0.00134519
         163     1.19632     1.18699  0.00133817
         164      1.1952     1.18704  0.00133095
         165     1.19403     1.18709  0.00132356
         166     1.19282     1.18712  0.00131604
         167     1.19156     1.18715  0.00130842
         168     1.19027     1.18717  0.00130077
         169     1.18895     1.18718  0.00129311
