#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.63359    -6.63359           0
           2     -6.6342     -6.6339 0.000215355
           3    -6.63548    -6.63442 0.000452946
           4    -6.63644    -6.63493 0.000553234
           5    -6.63709    -6.63536 0.000588098
           6    -6.63873    -6.63592 0.000708599
           7    -6.63972    -6.63646 0.000787816
           8    -6.64071    -6.63699 0.000849439
           9     -6.6417    -6.63752  0.00090182
          10    -6.64302    -6.63807 0.000964777
          11    -6.64368    -6.63858  0.00100277
          12    -6.64497    -6.63911   0.0010514
          13    -6.64561    -6.63961    0.001083
          14    -6.64689    -6.64013   0.0011234
          15    -6.64749    -6.64062  0.00115073
          16     -6.6484    -6.64111  0.00117706
          17    -6.64896    -6.64157  0.00119505
          18    -6.64885    -6.64197  0.00119511
          19    -6.64935    -6.64236  0.00119365
          20    -6.65015    -6.64275  0.00119579
          21    -6.65091    -6.64314  0.00120032
          22    -6.65164    -6.64353  0.00120629
          23    -6.65232    -6.64391  0.00121295
          24    -6.65297    -6.64429  0.00121971
          25    -6.65357    -6.64466   0.0012261
          26    -6.65412    -6.64502  0.00123175
          27    -6.65494    -6.64539  0.00123975
          28     -6.6554    -6.64575  0.00124595
          29    -6.65613     -6.6461  0.00125334
          30    -6.65712    -6.64647  0.00126423
          31    -6.65742    -6.64682  0.00127182
          32    -6.65701    -6.64714   0.0012713
          33    -6.65752    -6.64746  0.00127108
          34    -6.65667    -6.64773  0.00126227
          35    -6.65706      -6.648  0.00125407
          36    -6.65707    -6.64825  0.00124429
          37    -6.65636    -6.64847  0.00122985
          38    -6.65624    -6.64867   0.0012144
          39    -6.65574    -6.64885  0.00119671
          40    -6.65582    -6.64903   0.0011794
          41    -6.65584    -6.64919  0.00116228
          42    -6.65483    -6.64933  0.00114232
          43    -6.65472    -6.64945  0.00112263
          44    -6.65423    -6.64956  0.00110236
          45    -6.65272    -6.64963  0.00108009
          46    -6.65147    -6.64967  0.00105735
          47    -6.65145    -6.64971  0.00103553
          48    -6.65041    -6.64972  0.00101406
          49    -6.64931    -6.64972 0.000993403
          50    -6.64816    -6.64968 0.000974019
          51    -6.64728    -6.64964 0.000956058
          52    -6.64635    -6.64957 0.000939755
          53     -6.6457     -6.6495 0.000924863
          54      -6.645    -6.64942 0.000911485
          55    -6.64361    -6.64931 0.000901015
          56    -6.64282     -6.6492 0.000892353
          57    -6.64102    -6.64905 0.000888145
          58    -6.63984    -6.64889 0.000886934
          59    -6.63862    -6.64872 0.000888843
          60    -6.63769    -6.64854 0.000892837
          61    -6.63674    -6.64834 0.000898913
          62    -6.63543    -6.64813 0.000908206
          63    -6.63411    -6.64791 0.000920659
          64    -6.63277    -6.64767  0.00093616
          65     -6.6311    -6.64742 0.000955858
          66    -6.63071    -6.64717 0.000974322
          67    -6.62935     -6.6469 0.000995419
          68    -6.62831    -6.64663  0.00101765
          69    -6.62662    -6.64634   0.0010434
          70    -6.62591    -6.64605  0.00106852
          71    -6.62457    -6.64574  0.00109546
          72    -6.62259    -6.64542  0.00112646
          73    -6.62128    -6.64509  0.00115856
          74    -6.61966    -6.64475  0.00119277
          75    -6.61776    -6.64439  0.00122996
          76    -6.61491      -6.644  0.00127347
          77    -6.61307     -6.6436  0.00131877
          78    -6.61191    -6.64319    0.001363
          79    -6.61015    -6.64277  0.00140844
          80    -6.60844    -6.64234  0.00145473
          81    -6.60678    -6.64191  0.00150155
          82    -6.60583    -6.64147  0.00154636
          83     -6.6046    -6.64102  0.00159023
          84    -6.60409    -6.64058  0.00163095
          85    -6.60299    -6.64014  0.00167066
          86    -6.60228     -6.6397  0.00170825
          87    -6.60196    -6.63927   0.0017428
          88     -6.6014    -6.63883  0.00177533
          89    -6.60123    -6.63841  0.00180497
          90    -6.60081    -6.63799  0.00183263
          91    -6.60015    -6.63758  0.00185909
          92    -6.59988    -6.63717  0.00188349
          93    -6.59906    -6.63676   0.0019073
          94    -6.59896    -6.63636  0.00192895
          95    -6.59861    -6.63596  0.00194913
          96      -6.599    -6.63557  0.00196648
          97    -6.59947     -6.6352  0.00198112
          98     -6.5997    -6.63484  0.00199375
          99    -6.59936    -6.63448  0.00200557
         100    -6.59975    -6.63413  0.00201536
         101    -6.60022     -6.6338  0.00202319
         102    -6.60077    -6.63347  0.00202911
         103    -6.60236    -6.63317  0.00203177
         104    -6.60338    -6.63289  0.00203233
         105    -6.60447    -6.63262  0.00203091
         106    -6.60532    -6.63236  0.00202801
         107    -6.60622    -6.63211  0.00202371
         108    -6.60816    -6.63189  0.00201709
         109     -6.6092    -6.63168   0.0020093
         110    -6.60931    -6.63148   0.0020013
         111    -6.61045    -6.63129  0.00199222
         112    -6.61164    -6.63112  0.00198214
         113    -6.61288    -6.63095  0.00197115
         114    -6.61448    -6.63081  0.00195916
         115    -6.61579    -6.63068  0.00194647
         116     -6.6181    -6.63057  0.00193271
         117    -6.61947    -6.63048  0.00191851
         118    -6.62054    -6.63039   0.0019041
         119    -6.62195    -6.63032  0.00188942
