#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.949126    0.949126           0
           2     0.94976    0.949443 0.000224426
           3    0.950395     0.94976 0.000299279
           4    0.951049    0.950083 0.000358042
           5    0.951719     0.95041 0.000409563
           6    0.952377    0.950738 0.000453986
           7    0.953055    0.951069 0.000495342
           8    0.953737    0.951402 0.000534035
           9    0.954421    0.951738 0.000570399
          10    0.955099    0.952074 0.000604332
          11    0.955788    0.952411 0.000636752
          12     0.95646    0.952749 0.000667089
          13    0.957139    0.953087 0.000696015
          14    0.957796    0.953423 0.000723051
          15    0.958457    0.953759 0.000748701
          16      0.9591    0.954092 0.000772754
          17    0.959734    0.954424 0.000795378
          18    0.960365    0.954754 0.000816807
          19    0.960966    0.955081 0.000836681
          20    0.961539    0.955404 0.000854891
          21    0.962091    0.955723 0.000871468
          22    0.962619    0.956036 0.000886447
          23    0.963122    0.956344 0.000899853
          24    0.963598    0.956646  0.00091171
          25    0.964046    0.956942 0.000922035
          26    0.964463    0.957232 0.000930834
          27    0.964841    0.957513 0.000938052
          28    0.965192    0.957788 0.000943789
          29    0.965503    0.958054 0.000948003
          30    0.965773    0.958311 0.000950679
          31    0.966019     0.95856 0.000951975
          32    0.966242      0.9588 0.000952019
          33    0.966408     0.95903  0.00095068
          34    0.966561    0.959252 0.000948169
          35    0.966647    0.959463 0.000944328
          36    0.966699    0.959664 0.000939244
          37    0.966722    0.959855 0.000933029
          38     0.96669    0.960035 0.000925653
          39    0.966622    0.960204   0.0009172
          40    0.966499    0.960361 0.000907671
          41    0.966332    0.960507 0.000897142
          42    0.966143    0.960641 0.000885762
          43    0.965892    0.960763 0.000873542
          44    0.965606    0.960873 0.000860596
          45    0.965298    0.960971 0.000847071
          46    0.964944    0.961058 0.000833047
          47    0.964523    0.961132 0.000818579
          48    0.964083    0.961193 0.000803832
          49    0.963604    0.961242 0.000788932
          50    0.963087    0.961279 0.000774015
          51    0.962526    0.961304 0.000759224
          52    0.961928    0.961316 0.000744719
          53     0.96129    0.961315 0.000730668
          54    0.960619    0.961302 0.000717251
          55    0.959929    0.961277 0.000704644
          56    0.959195     0.96124 0.000693042
          57    0.958452    0.961191 0.000682607
          58    0.957669     0.96113 0.000673534
          59     0.95686    0.961058 0.000665996
          60    0.956022    0.960974 0.000660164
          61    0.955162    0.960879 0.000656181
          62     0.95429    0.960773 0.000654146
          63    0.953402    0.960656 0.000654141
          64      0.9525    0.960528 0.000656216
          65    0.951593    0.960391 0.000660363
          66     0.95065    0.960243 0.000666645
          67    0.949721    0.960086 0.000674939
          68    0.948782     0.95992 0.000685179
          69    0.947855    0.959745 0.000697201
          70    0.946911    0.959562 0.000710941
          71    0.945984     0.95937 0.000726193
          72    0.945077    0.959172 0.000742746
          73    0.944167    0.958966  0.00076048
          74    0.943277    0.958754 0.000779199
          75    0.942408    0.958536  0.00079871
          76    0.941577    0.958313  0.00081878
          77    0.940749    0.958085 0.000839321
          78    0.939931    0.957852 0.000860224
          79    0.939154    0.957616 0.000881296
          80    0.938407    0.957376 0.000902398
          81    0.937692    0.957133 0.000923397
          82    0.936999    0.956887 0.000944214
          83     0.93635     0.95664 0.000964714
          84    0.935727    0.956391 0.000984831
          85    0.935159    0.956141  0.00100442
          86    0.934628    0.955891  0.00102342
          87    0.934136    0.955641  0.00104176
          88    0.933698    0.955391  0.00105934
          89    0.933304    0.955143  0.00107611
          90    0.932966    0.954897    0.001092
          91    0.932686    0.954653  0.00110694
          92    0.932454    0.954411   0.0011209
          93    0.932288    0.954173  0.00113381
          94    0.932165    0.953939  0.00114567
          95    0.932104    0.953709  0.00115643
          96    0.932086    0.953484  0.00116612
          97    0.932124    0.953264   0.0011747
          98    0.932225    0.953049  0.00118217
          99    0.932396    0.952841  0.00118849
         100     0.93261    0.952638   0.0011937
         101     0.93288    0.952443  0.00119781
         102    0.933203    0.952254  0.00120082
         103    0.933561    0.952073   0.0012028
         104    0.933984    0.951899  0.00120375
         105    0.934458    0.951733  0.00120369
         106    0.934989    0.951575  0.00120265
         107    0.935569    0.951425  0.00120068
         108    0.936175    0.951284  0.00119784
         109    0.936844    0.951151  0.00119415
         110    0.937575    0.951028  0.00118965
         111    0.938326    0.950914  0.00118443
         112    0.939113    0.950808  0.00117853
         113    0.939934    0.950712  0.00117202
         114     0.94078    0.950625  0.00116497
         115    0.941661    0.950547  0.00115745
         116    0.942546    0.950478  0.00114952
         117    0.943473    0.950418  0.00114126
         118    0.944427    0.950367  0.00113271
         119    0.945389    0.950325  0.00112397
         120    0.946356    0.950292  0.00111509
         121    0.947319    0.950268  0.00110614
         122    0.948313    0.950252  0.00109719
         123    0.949304    0.950244   0.0010883
         124    0.950294    0.950244  0.00107952
         125    0.951286    0.950253  0.00107092
         126    0.952257    0.950269  0.00106254
         127    0.953242    0.950292  0.00105443
         128    0.954191    0.950323  0.00104663
         129    0.955129     0.95036  0.00103918
         130    0.956026    0.950403   0.0010321
         131    0.956918    0.950453  0.00102542
         132    0.957789    0.950509  0.00101916
         133    0.958616     0.95057  0.00101332
         134    0.959409    0.950636   0.0010079
         135    0.960164    0.950706   0.0010029
         136    0.960864    0.950781 0.000998303
         137    0.961528    0.950859 0.000994094
         138    0.962147    0.950941  0.00099025
         139    0.962751    0.951026 0.000986763
         140    0.963272    0.951114 0.000983585
         141     0.96375    0.951203 0.000980683
         142     0.96418    0.951295 0.000978025
         143    0.964555    0.951387 0.000975572
         144    0.964868    0.951481 0.000973279
         145    0.965136    0.951575 0.000971112
         146    0.965333    0.951669 0.000969021
         147    0.965477    0.951763 0.000966971
         148    0.965543    0.951856 0.000964909
         149    0.965555    0.951948 0.000962803
         150     0.96552    0.952039 0.000960627
         151    0.965426    0.952127 0.000958347
         152     0.96526    0.952214 0.000955929
         153    0.965041    0.952298 0.000953351
         154    0.964771    0.952379 0.000950595
         155    0.964437    0.952456  0.00094764
         156    0.964027    0.952531 0.000944463
         157    0.963565    0.952601 0.000941059
         158    0.963071    0.952667 0.000937433
         159     0.96252    0.952729 0.000933583
         160     0.96192    0.952787 0.000929514
         161    0.961274    0.952839 0.000925234
         162    0.960605    0.952887 0.000920764
         163    0.959881     0.95293 0.000916114
         164    0.959119    0.952968 0.000911305
         165    0.958321       0.953 0.000906359
         166    0.957492    0.953027 0.000901303
         167    0.956634    0.953049 0.000896165
         168    0.955746    0.953065 0.000890974
         169    0.954837    0.953076 0.000885764
         170    0.953916     0.95308 0.000880567
         171    0.952981     0.95308 0.000875418
         172    0.952041    0.953074 0.000870349
         173    0.951076    0.953062 0.000865395
         174    0.950115    0.953045 0.000860587
         175    0.949156    0.953023 0.000855956
         176     0.94821    0.952996  0.00085153
         177    0.947268    0.952963 0.000847333
         178    0.946341    0.952926 0.000843389
         179    0.945438    0.952884 0.000839715
         180    0.944559    0.952838 0.000836322
         181      0.9437    0.952788 0.000833224
         182    0.942887    0.952733  0.00083042
         183    0.942096    0.952675 0.000827914
         184    0.941356    0.952614 0.000825697
         185    0.940661    0.952549 0.000823758
         186        0.94    0.952482 0.000822087
         187    0.939402    0.952412 0.000820661
         188    0.938852    0.952339 0.000819459
         189    0.938366    0.952266 0.000818452
         190    0.937934     0.95219 0.000817613
         191    0.937561    0.952114 0.000816912
         192    0.937262    0.952036 0.000816311
         193    0.937027    0.951958 0.000815778
         194    0.936872    0.951881 0.000815271
         195    0.936793    0.951803 0.000814753
         196    0.936785    0.951727 0.000814192
         197    0.936869    0.951651 0.000813544
         198    0.937042    0.951577 0.000812774
         199    0.937299    0.951506 0.000811851
         200    0.937648    0.951436 0.000810743
         201    0.938057     0.95137 0.000809437
         202    0.938562    0.951306 0.000807909
         203    0.939156    0.951247 0.000806144
         204    0.939845    0.951191 0.000804127
         205     0.94061    0.951139 0.000801859
         206    0.941459    0.951092 0.000799343
         207     0.94241     0.95105 0.000796581
         208     0.94345    0.951014 0.000793589
         209    0.944572    0.950983  0.00079039
         210    0.945788    0.950958 0.000787013
         211    0.947085     0.95094 0.000783497
         212     0.94846    0.950928 0.000779889
         213    0.949927    0.950923 0.000776242
         214    0.951504    0.950926 0.000772619
         215    0.953137    0.950936 0.000769094
         216     0.95485    0.950954 0.000765747
         217     0.95664    0.950981 0.000762666
         218    0.958505    0.951015 0.000759948
         219    0.960452    0.951058 0.000757699
         220     0.96247     0.95111 0.000756028
         221    0.964543    0.951171 0.000755047
         222    0.966686    0.951241 0.000754873
         223    0.968892     0.95132 0.000755627
         224    0.971158    0.951408 0.000757426
         225    0.973473    0.951507 0.000760381
         226    0.975867    0.951614 0.000764619
         227    0.978304    0.951732 0.000770237
         228    0.980773    0.951859 0.000777319
         229    0.983284    0.951996 0.000785945
         230    0.985853    0.952144 0.000796193
         231    0.988456    0.952301 0.000808116
         232    0.991084    0.952468 0.000821741
         233    0.993733    0.952645 0.000837081
         234    0.996397    0.952832 0.000854131
         235    0.999081    0.953029 0.000872875
         236     1.00179    0.953236 0.000893298
         237      1.0045    0.953452 0.000915346
         238     1.00722    0.953678 0.000938966
         239     1.00994    0.953913 0.000964096
         240     1.01267    0.954158 0.000990672
         241     1.01537    0.954412   0.0010186
         242     1.01809    0.954675  0.00104783
         243     1.02077    0.954947  0.00107824
