#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.788085    0.788085           0
           2    0.788694    0.788389 0.000215361
           3    0.789316    0.788698 0.000290146
           4    0.789949    0.789011 0.000347419
           5    0.790592    0.789327 0.000396536
           6    0.791242    0.789646 0.000440569
           7    0.791899    0.789968  0.00048097
           8    0.792559    0.790292 0.000518515
           9    0.793221    0.790617 0.000553677
          10    0.793882    0.790944 0.000586741
          11    0.794542    0.791271 0.000617894
          12    0.795198    0.791598 0.000647286
          13    0.795848    0.791925 0.000675014
          14     0.79649    0.792251 0.000701129
          15    0.797121    0.792576  0.00072568
          16    0.797741    0.792899 0.000748705
          17    0.798347    0.793219 0.000770214
          18    0.798937    0.793537 0.000790212
          19    0.799509    0.793851 0.000808721
          20    0.800062    0.794162  0.00082575
          21    0.800592    0.794468 0.000841296
          22      0.8011    0.794769 0.000855368
          23    0.801584    0.795066 0.000867973
          24    0.802041    0.795356 0.000879119
          25     0.80247    0.795641 0.000888813
          26    0.802869    0.795919 0.000897054
          27    0.803237     0.79619 0.000903851
          28    0.803573    0.796454 0.000909216
          29    0.803875    0.796709 0.000913168
          30    0.804143    0.796957 0.000915732
          31    0.804376    0.797197 0.000916934
          32    0.804574    0.797427 0.000916805
          33    0.804735    0.797649 0.000915378
          34    0.804858    0.797861 0.000912681
          35    0.804941    0.798063 0.000908747
          36    0.804984    0.798255 0.000903614
          37    0.804987    0.798437 0.000897325
          38     0.80495    0.798608 0.000889926
          39     0.80487    0.798769 0.000881473
          40     0.80475    0.798919 0.000872025
          41    0.804588    0.799057  0.00086165
          42    0.804384    0.799184  0.00085042
          43     0.80414    0.799299 0.000838419
          44    0.803856    0.799402 0.000825735
          45    0.803531    0.799494 0.000812465
          46    0.803167    0.799574 0.000798715
          47    0.802764    0.799642   0.0007846
          48    0.802324    0.799698 0.000770241
          49    0.801845    0.799742 0.000755768
          50     0.80133    0.799773  0.00074132
          51    0.800778    0.799793 0.000727046
          52    0.800192    0.799801 0.000713105
          53    0.799572    0.799796 0.000699663
          54     0.79892     0.79978 0.000686894
          55    0.798237    0.799752 0.000674978
          56    0.797525    0.799712 0.000664095
          57    0.796785    0.799661 0.000654428
          58    0.796018    0.799598 0.000646152
          59    0.795227    0.799524 0.000639433
          60    0.794414    0.799439 0.000634422
          61    0.793581    0.799343 0.000631249
          62    0.792729    0.799236 0.000630017
          63    0.791861    0.799119 0.000630799
          64     0.79098    0.798992 0.000633632
          65    0.790089    0.798855 0.000638517
          66    0.789188    0.798709 0.000645422
          67    0.788282    0.798553 0.000654281
          68    0.787373    0.798389 0.000664997
          69    0.786462    0.798216 0.000677449
          70    0.785554    0.798035 0.000691497
          71    0.784651    0.797846 0.000706985
          72    0.783755    0.797651  0.00072375
          73    0.782868    0.797448 0.000741624
          74    0.781994    0.797239 0.000760438
          75    0.781135    0.797025 0.000780025
          76    0.780294    0.796804 0.000800221
          77    0.779475    0.796579 0.000820867
          78    0.778679     0.79635 0.000841811
          79     0.77791    0.796116  0.00086291
          80     0.77717     0.79588 0.000884027
          81    0.776461     0.79564 0.000905035
          82    0.775787    0.795398 0.000925814
          83    0.775149    0.795154 0.000946258
          84    0.774549    0.794909 0.000966265
          85     0.77399    0.794662 0.000985739
          86    0.773473    0.794416   0.0010046
          87    0.773001     0.79417  0.00102276
          88    0.772575    0.793924  0.00104016
          89    0.772197     0.79368  0.00105674
          90    0.771868    0.793438  0.00107243
          91     0.77159    0.793198  0.00108719
          92    0.771363    0.792961  0.00110097
          93    0.771188    0.792726  0.00111375
          94    0.771068    0.792496  0.00112548
          95    0.771001     0.79227  0.00113615
          96    0.770989    0.792048  0.00114573
          97    0.771031    0.791831  0.00115423
          98    0.771129     0.79162  0.00116162
          99     0.77128    0.791415  0.00116792
         100    0.771487    0.791215  0.00117311
         101    0.771747    0.791023  0.00117723
         102     0.77206    0.790837  0.00118028
         103    0.772424    0.790658  0.00118228
         104    0.772839    0.790487  0.00118326
         105    0.773303    0.790323  0.00118325
         106    0.773817    0.790167  0.00118229
         107    0.774377     0.79002  0.00118042
         108    0.774981     0.78988  0.00117767
