 #    Gen:      Top 50% av.
           1     37.4708
           2     35.6365
           3     34.4719
           4     33.5284
           5     32.4932
           6      31.463
           7     30.4997
           8      28.867
           9     27.7073
          10     26.5301
          11     25.5511
          12     24.9481
          13     24.0482
          14     23.3273
          15     22.6809
          16     21.8208
          17     21.1406
          18     20.5906
          19     20.0334
          20     19.6915
          21     19.2889
          22     18.7894
          23     18.2458
          24     17.7716
          25     17.2737
          26     16.9778
          27     16.6085
          28     16.2772
          29     15.8416
          30     15.6215
          31     15.3397
          32     15.1572
          33     14.8531
          34     14.6189
          35     14.5415
          36     14.3583
          37     14.1821
          38     13.8983
          39     13.7764
          40     13.6387
          41     13.5619
          42     13.5334
          43      13.481
          44     13.4239
          45     13.2766
          46     13.1246
          47     13.0221
          48     12.8867
          49     12.7672
          50     12.6211
          51     12.3363
          52     12.1567
          53     11.9179
          54     11.3633
          55     10.9401
          56     10.6347
          57     10.4062
          58     10.2472
          59     10.1284
          60     10.0019
          61     9.90751
          62     9.84914
          63     9.70393
          64     9.37983
          65     9.07135
          66     8.95584
          67     8.84926
          68     8.74133
          69     8.67654
          70     8.56881
          71     8.42992
          72     8.28782
          73     8.05394
          74     7.81791
          75     7.79837
          76     7.69928
          77     7.61469
          78     7.59253
          79     7.54308
          80     7.53005
          81     7.41465
          82     7.34491
          83     7.33026
          84     7.31238
          85     7.29718
          86     7.25543
          87     7.21247
          88     7.16994
          89     7.10715
          90     7.06987
          91      7.0491
          92     7.06082
          93      7.0338
          94     7.05314
          95     7.03634
          96     6.99755
          97      6.9611
          98     7.00788
          99      6.9277
         100     6.91137
         101     6.89393
         102     6.90679
         103     6.87943
         104     6.87772
         105     6.92489
         106     6.82776
