 #    Gen:      Top 50% av.
           1     37.1914
           2     34.9696
           3     33.1653
           4     31.8195
           5     30.5251
           6     29.5689
           7     28.6221
           8     27.6393
           9     26.5806
          10     25.4298
          11     24.4794
          12     23.2684
          13     22.2129
          14     21.2036
          15     20.5605
          16     19.9881
          17     19.6906
          18     19.1743
          19     18.8104
          20     18.2866
          21     17.6647
          22      16.937
          23     16.3127
          24     15.7491
          25     15.2823
          26      14.956
          27      14.672
          28     14.2121
          29     13.7934
          30     13.4458
          31     13.1103
          32     12.8195
          33     12.5609
          34     12.3499
          35     12.1639
          36     12.1078
          37     11.9055
          38     11.7382
          39     11.5808
          40     11.5526
          41     11.4912
          42     11.3976
          43      11.349
          44     11.2715
          45       11.18
          46     11.1393
          47     11.1172
          48     11.1411
          49     11.0796
          50     10.8171
          51     10.5222
          52     10.4486
          53     9.95139
          54     9.11553
          55     8.12729
          56     7.84012
          57     7.74853
          58     7.67196
          59     7.62097
          60     7.55717
          61     7.52845
          62      7.4663
          63      7.4141
          64     7.42499
          65     7.37614
          66      7.3116
          67     7.30503
          68     7.33885
          69     7.17873
          70     7.19162
          71      7.2405
          72     7.17621
          73     7.12598
          74     7.11207
          75     7.18987
          76     7.10127
          77     7.12201
          78      7.0481
          79     7.06177
          80      7.0807
          81     7.05827
          82     7.06793
          83     7.06211
          84     7.01032
