#    Position:        Index:           x_coord:          y_coord:
           0           0    0.717473    0.696586
           1           7    0.857503    0.514478
           2          20    0.918643    0.395088
           3          13    0.991194    0.132421
           4          18    0.994097    0.108496
           5           9    0.828785   -0.559567
           6          25   0.0379884   -0.999278
           7          14    0.490951    0.871187
           8           1    0.482205    0.876058
           9          23     0.34881    0.937194
          10          22    0.105631    0.994405
          11          28  -0.0495759     0.99877
          12          16   -0.182645    0.983179
          13           3   -0.488159    0.872755
          14          10    -0.69137    0.722501
          15          30    -0.98434    0.176281
          16           4    -0.98968    0.143298
          17          26   -0.991421    0.130705
          18          24   -0.999094   0.0425475
          19          27    -0.99935   0.0360596
          20          17   -0.958776   -0.284163
          21           5   -0.899859   -0.436181
          22          15   -0.898197   -0.439593
          23          33   -0.874885    -0.48433
          24          19   -0.866511   -0.499159
          25          31   -0.861008   -0.508592
          26          32   -0.742544   -0.669797
          27           8   -0.556778   -0.830661
          28           6   -0.278816   -0.960344
          29           2   -0.127518   -0.991836
          30          21    0.029236   -0.999573
          31          12    0.162934   -0.986637
          32          11    0.517489    -0.85569
          33          29    0.067379    0.997727
