#    Position:      City:   longitude:  latitude:
           0           0     13.5747     37.3123
           1          55     15.5542     38.1938
           2          79     15.6398     38.1035
           3          27     16.3331     39.5967
           4          54     16.4736     40.4476
           5           9     16.1466     41.1802
           6          22     14.1169     41.2035
           7          93     13.6979     42.6581
           8           4     11.7639     43.5171
           9          32     13.6388     43.0922
          10          89     11.4676     43.1672
          11          57      10.936     44.5385
          12          66     10.3281     44.8014
          13          80     10.5941     44.6087
          14          14     11.3426     44.4938
          15          33     11.8279     44.7668
          16         108     11.4064     45.6349
          17          52     10.6708     45.1693
          18         103     12.3346     45.4372
          19          15     11.2302     46.6559
          20          98     11.1258     46.0664
          21          91     10.2584     46.3234
          22          26     9.14941     45.9395
          23          13     8.08691      45.567
          24          95     7.68249     45.0678
          25          43     9.69123     44.2384
          26          38     8.93386     44.4073
          27          71     9.66653     44.8476
          28           6     8.20269      44.826
          29          88     8.25257     44.2334
          30           1     8.74503      44.835
          31          67     9.13783     45.0369
          32          56     9.18963     45.4642
          33          49     9.49168     45.2613
          34          28      10.037     45.2209
          35          16     10.4259     45.7796
          36          47     9.41202     45.9005
          37         102     8.75413     45.8397
          38           3     7.31966     45.7371
          39         105     8.34628     45.5554
          40          30     7.55814     44.4581
          41          41     7.86674     43.9584
          42         104      8.3836     46.1156
          43          60       8.546     45.5843
          44          12     9.75422     45.7567
          45          58     9.27883     45.6395
          46          10     12.0789     46.2805
          47         106     10.9924     45.4385
          48          99     12.2063     45.8067
          49         100     13.7773     45.6496
          50          74     12.6597     45.9563
          51         101     13.2358     46.0635
          52          39     13.6252     45.9441
          53          64     11.8734     45.4077
          54          84     12.2742     44.9772
          55          78      12.059     44.3641
          56          82      12.631     43.9465
          57          36     12.0141     44.0227
          58          73     10.8687     43.9741
          59          76     11.0941     43.9357
          60          72     10.4019     43.7159
          61          53     10.0526     44.2131
          62          50     10.4544     44.0178
          63          34     11.2556     43.7698
          64          96     9.66781     39.9705
          65          61     9.34238     40.1277
          66          62     9.50674     40.9253
          67          87     8.92197     40.7778
          68          63     8.67964     40.0266
          69          18     9.11331     39.2172
          70          21     8.54034     39.3075
          71          86     8.76505     39.4937
          72          97      12.516     38.0174
          73          65     13.3524     38.1112
          74          31     14.2807     37.5668
          75          77     14.7213      36.922
          76          90     15.2907     37.0646
          77         107     16.0987     38.6267
          78          24     16.4316       38.83
          79          29     16.8783     39.1874
          80          46     18.2261     40.1522
          81           8      16.862     41.1258
          82          20     14.8262     41.7173
          83          42     14.2081     41.6495
          84          25     14.4159     42.1027
          85          44     13.6103     42.1369
          86           5     13.5396     42.8834
          87          51     13.1509      43.153
          88           2     13.2188     43.4801
          89          69     12.7014     43.6941
          90          68      12.403      43.107
          91          40     11.2878     42.7751
          92          48     10.3403     42.7902
          93         109     11.9488      42.493
          94          83     12.4829     41.8933
          95          94     12.4397     42.6539
          96          81     12.8859     42.4147
          97          37     13.5758     41.6285
          98          70     13.9576     42.3103
          99          35     15.4529     41.5028
         100          11     14.7057     41.2476
         101          59     14.2488     40.8359
         102          45     13.0126     41.4595
         103           7     15.1406     40.9965
         104          85     15.3106     40.4194
         105          75     15.8216     40.5173
         106          92     17.0806     40.5488
         107          17     17.6884     40.6359
         108          23     15.0874     37.5024
         109          19     14.0632     37.4899
