#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.01925     1.01925           0
           2       1.014     1.01662  0.00185616
           3     1.01795     1.01707  0.00128891
           4     1.00665     1.01446  0.00245372
           5     0.99635     1.01084  0.00378831
           6     1.01105     1.01087  0.00315709
           7     1.01335     1.01123   0.0027258
           8      1.0083     1.01086  0.00240953
           9     1.04065     1.01417  0.00378477
          10      1.0187     1.01462  0.00343327
          11     1.04155     1.01707  0.00389721
          12     1.04615      1.0195  0.00425964
          13      0.9943     1.01756  0.00435062
          14     1.01725     1.01754  0.00403991
          15      1.0109     1.01709  0.00379473
          16      1.0329     1.01808  0.00368391
          17     1.02815     1.01867   0.0035145
          18       1.056     1.02075  0.00388313
          19     1.00135     1.01973   0.0038106
          20     1.01745     1.01961  0.00362177
          21      1.0046      1.0189  0.00351915
          22      1.0164     1.01878  0.00336102
          23      1.0745     1.02121  0.00399356
          24      1.0222     1.02125  0.00382738
          25     1.04095     1.02204  0.00375454
          26     1.04835     1.02305  0.00374406
          27      1.0533     1.02417  0.00376932
          28      1.0307      1.0244  0.00364191
          29      1.0415     1.02499  0.00356373
          30      1.0593     1.02614  0.00362379
          31     1.00975     1.02561  0.00354523
          32     1.02785     1.02568  0.00343514
          33      1.0302     1.02581  0.00333378
          34      1.0167     1.02555  0.00324648
          35      1.0637     1.02664  0.00333173
          36     1.07775     1.02806  0.00352877
          37     1.02505     1.02797  0.00343433
          38     0.97425     1.02656   0.0036233
          39      1.0598     1.02741  0.00362925
          40     1.10495     1.02935  0.00402302
          41      1.0302     1.02937  0.00392495
          42      1.0043     1.02877  0.00387663
          43     1.01985     1.02857  0.00379203
          44      1.0469     1.02898  0.00372866
          45     1.08715     1.03028  0.00386335
          46      1.0771     1.03129  0.00391117
          47      1.0448     1.03158  0.00383849
          48     1.01905     1.03132  0.00376739
          49     1.02965     1.03129  0.00369066
          50     1.05645     1.03179    0.003651
          51     1.06185     1.03238  0.00362667
          52     1.01145     1.03198   0.0035792
          53     1.03775     1.03209  0.00351332
          54     1.05645     1.03254  0.00347711
          55     1.02215     1.03235  0.00341901
          56      1.0359     1.03241  0.00335855
          57     1.01805     1.03216  0.00330906
          58     1.02405     1.03202  0.00325496
          59      0.9703     1.03097   0.0033637
          60      1.0061     1.03056  0.00333309
          61     1.05465     1.03095  0.00330176
          62       1.011     1.03063  0.00326415
          63      1.0392     1.03077  0.00321517
          64     1.04305     1.03096  0.00317066
          65     1.08985     1.03187  0.00324874
          66     1.04895     1.03212  0.00320981
          67     1.01025      1.0318  0.00317847
          68     1.03415     1.03183  0.00313191
          69      1.0108     1.03153  0.00310132
          70     1.05555     1.03187  0.00307595
          71     1.06785     1.03238  0.00307408
          72     1.04865      1.0326  0.00303968
          73     1.03445     1.03263  0.00299815
          74     1.03135     1.03261  0.00295768
          75      1.0088     1.03229  0.00293524
          76     1.02085     1.03214  0.00290048
          77     1.01895     1.03197  0.00286786
          78      1.0653      1.0324  0.00286275
          79      1.0408     1.03251  0.00282848
          80     1.03265     1.03251  0.00279313
          81     1.01455     1.03229  0.00276743
          82     1.05475     1.03256  0.00274721
          83      1.0569     1.03285  0.00272971
          84      1.0144     1.03263  0.00270604
          85      1.0385      1.0327  0.00267509
          86     0.99375     1.03225  0.00268205
          87      1.0329     1.03226  0.00265124
          88      0.9999     1.03189  0.00264648
          89     1.03125     1.03188  0.00261676
          90      1.0295     1.03186  0.00258782
          91      1.0139     1.03166  0.00256689
          92     0.98885     1.03119  0.00258082
          93     1.01895     1.03106  0.00255642
          94     1.05585     1.03133  0.00254279
          95     1.04045     1.03142  0.00251784
          96      1.0206     1.03131  0.00249413
          97     1.01135      1.0311   0.0024769
          98     1.03835     1.03118  0.00245272
          99     1.03745     1.03124  0.00242877
         100     1.07715      1.0317  0.00244749
