#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
          2.0     1.06785     1.03238  0.00307408
          1.95      1.1678     1.14309  0.00337787
          1.85      1.3185     1.28762   0.0039424
          1.75     1.38535     1.39526  0.00418875
          1.65     1.62425     1.62146  0.00471453
          1.55      1.9614     1.96782  0.00698315
          1.45      2.2773     2.24028  0.00864464
          1.35      2.8179     2.78926   0.0112201
          1.25     3.66005      3.6572   0.0149857
          1.15     4.57895      4.5143   0.0214777
          1.05      5.5894     5.87222   0.0313914
          0.95     8.16205     8.21924   0.0433352
          0.85     11.8917     11.7362   0.0830039
          0.75     16.4508     18.4916    0.163864
          0.65     28.2007      32.503    0.322191
          0.55     59.3442      59.223    0.512266
          0.45     106.244     99.1396    0.585589


 
