#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
          2.0     1.06230     1.02664  0.00251041
          1.9     1.23005     1.23323  0.00312018
          1.8     1.36570     1.34338  0.00341616
          1.7     1.52765     1.52477  0.00367445
          1.6     1.85850     1.85204  0.00505916
          1.5     2.11255     2.11861  0.00560169
          1.4     2.50100     2.51265  0.00759859
          1.3     3.05865     3.11890  0.00936842
          1.2     4.26765     4.12168  0.01313860
          1.1     5.11145     5.14828  0.0169607
          1.0     7.44080     7.01824  0.0294341
          0.9     10.0847     9.85749  0.0478509
          0.8     14.8166     14.6860  0.0816509
          0.7     24.9074     24.2786  0.148769
          0.6     47.0977     43.9612  0.295571
          0.5     81.443      79.4698  0.385671
        


 
