#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.04085     1.04085           0
           2     1.01605     1.02845  0.00876812
           3     1.01515     1.02402  0.00687545
           4       1.035     1.02676  0.00567848
           5     1.02305     1.02602  0.00459107
           6     0.98605     1.01936  0.00718463
           7      1.0209     1.01958  0.00616163
           8     1.05715     1.02428  0.00695463
           9        1.03     1.02491  0.00621092
          10     0.98925     1.02134  0.00653388
          11     1.05445     1.02435  0.00659669
          12      1.0464     1.02619  0.00629758
          13     1.03035     1.02651  0.00582127
          14      1.0468     1.02796  0.00558293
          15     1.01785     1.02729  0.00525127
          16      1.0267     1.02725  0.00492319
          17      1.0405     1.02803  0.00469488
          18     1.04105     1.02875  0.00448944
          19      1.0122     1.02788  0.00433686
          20      1.0535     1.02916  0.00430503
          21     1.00095     1.02782  0.00430455
          22      1.0558     1.02909  0.00429267
          23      1.0159     1.02852  0.00414417
          24     1.00615     1.02759  0.00407494
          25     1.01485     1.02708  0.00394366
          26      1.0639     1.02849   0.0040383
          27     1.01595     1.02803  0.00391536
          28     1.00935     1.02736  0.00383193
          29     1.03185     1.02752  0.00370292
          30     1.00425     1.02674   0.0036598
          31      1.0321     1.02691  0.00354582
          32      1.0197     1.02669  0.00344217
          33      1.0301     1.02679  0.00333942
          34      1.0612      1.0278  0.00339109
          35      1.0528     1.02852  0.00336857
          36     1.02745     1.02849  0.00327513
          37      1.0417     1.02884  0.00320602
          38     1.04655     1.02931  0.00315532
          39      0.9783       1.028  0.00333451
          40       1.036      1.0282  0.00325713
          41      1.0198       1.028  0.00318413
          42       1.034     1.02814  0.00311153
          43     1.05935     1.02887  0.00312267
          44      1.0078     1.02839  0.00308819
          45     1.04925     1.02885  0.00305416
          46     1.02125     1.02869  0.00299223
          47      1.0221     1.02855  0.00293185
          48      1.0182     1.02833  0.00287868
          49     1.02855     1.02833  0.00281993
          50      1.0411     1.02859  0.00277507
          51     1.03635     1.02874  0.00272482
          52      1.0301     1.02877  0.00267255
          53     1.09415        1.03  0.00289286
          54      0.9969     1.02939  0.00290351
          55      1.0156     1.02914  0.00286152
          56      1.0038     1.02869  0.00284597
          57     1.00405     1.02825  0.00282867
          58      1.0069     1.02789  0.00280375
          59      1.0363     1.02803  0.00275986
          60     0.99955     1.02755  0.00275437
          61      0.9994     1.02709  0.00274761
          62      1.0379     1.02727  0.00270882
          63      1.0227     1.02719  0.00266679
          64     0.98205     1.02649  0.00271681
          65     1.02875     1.02652  0.00267523
          66      1.0294     1.02657  0.00263506
          67     1.02105     1.02648  0.00259701
          68      1.0192     1.02638  0.00256103
          69     1.01985     1.02628  0.00252566
          70     1.01575     1.02613  0.00249406
          71      1.0623     1.02664  0.00251041
          72     1.00265     1.02631  0.00249756
          73      1.0563     1.02672  0.00249691
          74     1.03825     1.02687  0.00246803
          75     1.02045     1.02679  0.00243661
          76     1.03805     1.02694  0.00240905
          77     1.03025     1.02698  0.00237814
          78      1.0141     1.02682  0.00235338
          79      1.0383     1.02696  0.00232808
          80      1.0447     1.02718  0.00230951
          81     1.04485      1.0274  0.00229128
          82      1.0165     1.02727  0.00226719
          83      1.0293     1.02729     0.00224
          84     1.03295     1.02736  0.00221435
          85     1.03485     1.02745  0.00219005
          86     1.04265     1.02762  0.00217171
          87      1.0305     1.02766    0.002147
          88     1.02315     1.02761  0.00212321
          89       1.027      1.0276  0.00209937
          90     1.01435     1.02745  0.00208119
          91      1.0471     1.02767  0.00206949
          92     1.00285      1.0274  0.00206451
          93      1.0422     1.02756  0.00204843
          94     1.01675     1.02744  0.00202987
          95      1.0165     1.02733  0.00201176
          96     1.01325     1.02718  0.00199615
          97     1.01625     1.02707  0.00197874
          98      1.0573     1.02738  0.00198245
          99      1.0522     1.02763  0.00197822
         100     1.01015     1.02745  0.00196615
