#    Position:        Index:           x_coord:          y_coord:
           0           0   -0.754701   -0.126994
           1          29   -0.829896    0.610808
           2          16   -0.566263    0.526115
           3          23   -0.544822      0.5484
           4          18   0.0635575    0.573547
           5          17  -0.0642452    0.931532
           6           1    0.436723     0.98721
           7          12    0.892267    0.941378
           8          31     0.53026    0.774951
           9          19     0.33824    0.867778
          10          25    0.400473    0.391161
          11           6    0.275057    0.492952
          12          14   -0.112565    0.260341
          13          11    0.140643    0.010828
          14          27    0.344684  -0.0476092
          15           8    0.395225  -0.0819951
          16          26    0.643401   -0.171413
          17          13    0.898631   -0.361063
          18           9    0.522953   -0.311878
          19          28    0.410485   -0.394956
          20          30    0.435945   -0.723464
          21          22    0.358493   -0.792041
          22           3    0.511677   -0.830372
          23          24    0.503501   -0.990519
          24           4    0.125196    -0.92312
          25          32  -0.0947012   -0.869431
          26           5   -0.237187   -0.645877
          27           2   -0.335559   -0.403128
          28          21    -0.33345   0.0118473
          29          10   -0.575059    0.172058
          30           7   -0.596213 -0.00382757
          31          20    -0.67623   -0.422437
          32          33   -0.857797   -0.622076
          33          15   -0.821549   -0.337907
