#    Position:        Index:           x_coord:          y_coord:
           0           0   -0.754701   -0.660164
           1          17   -0.832092   -0.681482
           2          30   -0.732392   -0.893041
           3          19  0.00371557   -0.951432
           4           3    0.410058   -0.827986
           5          31    0.426846   -0.776446
           6          22     0.35676   -0.803571
           7          33   -0.454497    -0.49727
           8          25   -0.894478   -0.092985
           9           9   -0.965397    0.166357
          10          10   -0.870714    0.509307
          11          23    -0.75808    0.360274
          12           7   -0.663351    0.144877
          13           8   -0.441534   0.0917158
          14          15  -0.0564068    0.169834
          15           2  -0.0457706    0.143669
          16          16    0.233619    0.160937
          17          12  -0.0135474    0.512095
          18           5   -0.257007    0.673133
          19          27    -0.54778    0.989221
          20          24    0.154538     0.68001
          21           4    0.312037    0.810967
          22          26    0.531528    0.940534
          23          28    0.837711    0.879751
          24          18    0.863731    0.508103
          25          32     0.97095   -0.201956
          26          29    0.626571   -0.964115
          27           6    0.552096   -0.957725
          28          21    0.303909   -0.572297
          29           1    0.459299   -0.337669
          30          20    0.372012   -0.261299
          31          13  -0.0417242  -0.0114806
          32          14   -0.484213   -0.521464
          33          11   -0.533686   -0.613414
