#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1         1.8         1.8           0
           2         1.8         1.8           0
           3         1.8         1.8           0
           4         1.8         1.8           0
           5         1.8         1.8  1.3328e-08
           6         1.8         1.8 1.21667e-08
           7         1.8         1.8 1.78103e-08
           8         1.8         1.8   1.666e-08
           9         1.8         1.8 1.57072e-08
          10         1.8         1.8 1.49012e-08
          11         1.8         1.8 1.79715e-08
          12         1.8         1.8 1.72064e-08
          13         1.8         1.8 1.65314e-08
          14         1.8         1.8   1.593e-08
          15         1.8         1.8 1.53899e-08
          16         1.8         1.8 1.49012e-08
          17         1.8         1.8 1.44562e-08
          18         1.8         1.8 1.21667e-08
          19         1.8         1.8 1.18422e-08
          20         1.8         1.8 1.05367e-08
