#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.413279   -0.413279           0
           2   -0.411562    -0.41242 0.000606875
           3   -0.412886   -0.412576 0.000424007
           4   -0.410723   -0.412112 0.000511932
           5   -0.416644   -0.413019 0.000908131
           6    -0.41596   -0.413509 0.000879227
           7   -0.410514   -0.413081 0.000851361
           8   -0.412701   -0.413034 0.000746266
           9   -0.412688   -0.412995 0.000664336
          10   -0.413489   -0.413045 0.000599737
          11   -0.404596   -0.412277 0.000912975
          12   -0.408667   -0.411976 0.000885049
          13   -0.423981   -0.412899  0.00120606
          14   -0.417153   -0.413203  0.00115756
          15   -0.405405   -0.412683  0.00119143
          16   -0.403432   -0.412105  0.00124943
          17   -0.419536   -0.412542  0.00125005
          18   -0.410546   -0.412431  0.00118552
          19   -0.409452   -0.412274  0.00113344
          20   -0.410842   -0.412203  0.00107903
