#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0599016   0.0599016           0
           2    0.059896   0.0598988  1.9762e-06
           3   0.0598998   0.0598991 1.34207e-06
           4   0.0598977   0.0598988  1.0566e-06
           5   0.0599004   0.0598991 8.94618e-07
           6   0.0598967   0.0598987 8.32765e-07
           7   0.0598993   0.0598988  7.1825e-07
           8   0.0599001   0.0598989 6.47813e-07
           9   0.0598948   0.0598985 7.21451e-07
          10   0.0599046   0.0598991 8.69393e-07
          11   0.0599032   0.0598995 8.67987e-07
          12   0.0599005   0.0598996 7.99617e-07
          13   0.0598932   0.0598991 8.75815e-07
          14   0.0598973   0.0598989 8.22221e-07
          15   0.0599008   0.0598991 7.77105e-07
          16   0.0598969   0.0598989 7.40202e-07
          17   0.0598912   0.0598985 8.23107e-07
          18   0.0598994   0.0598985 7.78827e-07
          19   0.0598968   0.0598984    7.43e-07
          20   0.0599001   0.0598985  7.1063e-07
