#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.38672     1.38672           0
           2     1.38844     1.38758 0.000606875
           3     1.38711     1.38742 0.000424007
           4     1.38928     1.38789 0.000511932
           5     1.38336     1.38698 0.000908131
           6     1.38404     1.38649 0.000879227
           7     1.38949     1.38692 0.000851361
           8      1.3873     1.38697 0.000746266
           9     1.38731       1.387 0.000664336
          10     1.38651     1.38696 0.000599737
          11      1.3954     1.38772 0.000912975
          12     1.39133     1.38802 0.000885049
          13     1.37602      1.3871  0.00120606
          14     1.38285      1.3868  0.00115756
          15      1.3946     1.38732  0.00119143
          16     1.39657     1.38789  0.00124943
          17     1.38046     1.38746  0.00125005
          18     1.38945     1.38757  0.00118552
          19     1.39055     1.38773  0.00113344
          20     1.38916      1.3878  0.00107903
