#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1        1.65        1.65           0
           2        1.65        1.65           0
           3        1.65        1.65 1.72064e-08
           4        1.65        1.65           0
           5        1.65        1.65           0
           6        1.65        1.65 1.21667e-08
           7        1.65        1.65 1.37958e-08
           8        1.65        1.65 1.05367e-08
           9        1.65        1.65 9.93411e-09
          10        1.65        1.65   6.664e-09
          11        1.65        1.65 6.35388e-09
          12        1.65        1.65 1.05367e-08
          13        1.65        1.65 1.16894e-08
          14        1.65        1.65 1.12642e-08
          15        1.65        1.65 1.21667e-08
          16        1.65        1.65 1.17804e-08
          17        1.65        1.65 1.14287e-08
          18        1.65        1.65 1.11067e-08
          19        1.65        1.65 1.27911e-08
          20        1.65        1.65 1.24672e-08
