#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.53321    -5.53321           0
           2    -5.44447    -5.48884   0.0313736
           3    -5.45027    -5.47598   0.0234024
           4    -5.47078    -5.47468   0.0175879
           5    -5.48593    -5.47693   0.0142135
           6    -5.48199    -5.47777   0.0118696
           7    -5.47153    -5.47688   0.0102074
           8    -5.47096    -5.47614  0.00895826
           9    -5.43878    -5.47199  0.00887271
          10    -5.49445    -5.47423  0.00826481
          11    -5.48776    -5.47546  0.00760443
          12    -5.45135    -5.47345  0.00723133
          13    -5.47554    -5.47362  0.00667685
          14    -5.46431    -5.47295  0.00623296
          15    -5.43552    -5.47046  0.00629717
          16    -5.47799    -5.47093  0.00592117
          17    -5.48921      -5.472   0.0056697
          18    -5.46712    -5.47173  0.00536119
          19    -5.43623    -5.46986  0.00539483
          20    -5.47225    -5.46998  0.00512641
