#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.881264    0.881264           0
           2    0.886058    0.883661   0.0016948
           3    0.885284    0.884202  0.00121319
           4    0.884472    0.884269 0.000911765
           5    0.883472     0.88411 0.000743226
           6    0.883672    0.884037  0.00062293
           7    0.884476      0.8841 0.000537095
           8    0.884801    0.884187 0.000477067
           9    0.885991    0.884388 0.000464236
          10    0.883292    0.884278 0.000430556
          11    0.883779    0.884233 0.000393803
          12    0.885699    0.884355 0.000379465
          13    0.884516    0.884367 0.000350479
          14    0.884634    0.884386 0.000325961
          15    0.886046    0.884497 0.000322473
          16    0.883924    0.884461 0.000304298
          17    0.883483    0.884404  0.00029179
          18    0.884571    0.884413 0.000275726
          19    0.885909    0.884492 0.000272226
          20    0.884594    0.884497 0.000258663
