#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.88321    -3.88321           0
           2    -3.79447    -3.83884   0.0313736
           3    -3.80027    -3.82598   0.0234024
           4    -3.82078    -3.82468   0.0175879
           5    -3.83593    -3.82693   0.0142135
           6    -3.83199    -3.82777   0.0118696
           7    -3.82153    -3.82688   0.0102074
           8    -3.82096    -3.82614  0.00895826
           9    -3.78878    -3.82199  0.00887271
          10    -3.84445    -3.82423  0.00826481
          11    -3.83776    -3.82546  0.00760443
          12    -3.80135    -3.82345  0.00723133
          13    -3.82554    -3.82362  0.00667685
          14    -3.81431    -3.82295  0.00623296
          15    -3.78552    -3.82046  0.00629717
          16    -3.82799    -3.82093  0.00592117
          17    -3.83921      -3.822   0.0056697
          18    -3.81712    -3.82173  0.00536119
          19    -3.78623    -3.81986  0.00539483
          20    -3.82225    -3.81998  0.00512641
