#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -7.5442     -7.5442           0
           2    -7.55483    -7.54951  0.00375799
           3    -7.54024    -7.54642   0.0035567
           4    -7.55336    -7.54816   0.0030617
           5    -7.54553    -7.54763  0.00249397
           6    -7.56588    -7.55067  0.00346753
           7    -7.54629    -7.55005   0.0030283
           8    -7.53916    -7.54869  0.00293944
           9    -7.54111    -7.54784  0.00273079
          10    -7.55108    -7.54817  0.00247682
          11    -7.54677    -7.54804   0.0022549
          12     -7.5388    -7.54727  0.00219467
          13    -7.53992    -7.54671  0.00209733
          14    -7.53812    -7.54609  0.00203527
          15    -7.54634    -7.54611  0.00189965
          16    -7.55698    -7.54679  0.00189848
          17    -7.55035      -7.547  0.00179831
          18    -7.52363     -7.5457  0.00211561
          19    -7.55161    -7.54601  0.00202702
          20    -7.55643    -7.54653  0.00199148
