#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     0.94232     0.94232           0
           2    0.941756    0.942038 0.000199426
           3    0.942495    0.942191 0.000182022
           4    0.941841    0.942103 0.000156124
           5     0.94223    0.942128 0.000126937
           6    0.941179     0.94197 0.000179023
           7    0.942165    0.941998 0.000155597
           8    0.942548    0.942067  0.00015057
           9    0.942451    0.942109 0.000139748
          10    0.941938    0.942092 0.000126817
          11    0.942129    0.942096 0.000115333
          12    0.942547    0.942133 0.000111693
          13    0.942496    0.942161 0.000106531
          14    0.942573    0.942191 0.000102897
          15    0.942198    0.942191 9.60387e-05
          16    0.941638    0.942156 9.60591e-05
          17     0.94199    0.942147 9.09077e-05
          18    0.943312    0.942211  0.00010643
          19    0.941895    0.942195 0.000102124
          20    0.941638    0.942167 0.000100739
