#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1         0.8         0.8           0
           2         0.8         0.8           0
           3         0.8         0.8           0
           4         0.8         0.8           0
           5         0.8         0.8           0
           6         0.8         0.8           0
           7         0.8         0.8  6.8979e-09
           8         0.8         0.8 5.26836e-09
           9         0.8         0.8 4.96705e-09
          10         0.8         0.8   3.332e-09
          11         0.8         0.8 3.17694e-09
          12         0.8         0.8 3.04169e-09
          13         0.8         0.8 4.13284e-09
          14         0.8         0.8  3.9825e-09
          15         0.8         0.8 4.71216e-09
          16         0.8         0.8 4.56253e-09
          17         0.8         0.8  4.4263e-09
          18         0.8         0.8 4.30159e-09
          19         0.8         0.8 5.40522e-09
          20         0.8         0.8 5.26836e-09
