#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -6.3442     -6.3442           0
           2    -6.35483    -6.34951  0.00375799
           3    -6.34024    -6.34642   0.0035567
           4    -6.35336    -6.34816   0.0030617
           5    -6.34553    -6.34763  0.00249397
           6    -6.36588    -6.35067  0.00346753
           7    -6.34629    -6.35005   0.0030283
           8    -6.33916    -6.34869  0.00293944
           9    -6.34111    -6.34784  0.00273079
          10    -6.35108    -6.34817  0.00247682
          11    -6.34677    -6.34804   0.0022549
          12     -6.3388    -6.34727  0.00219467
          13    -6.33992    -6.34671  0.00209733
          14    -6.33812    -6.34609  0.00203527
          15    -6.34634    -6.34611  0.00189965
          16    -6.35698    -6.34679  0.00189848
          17    -6.35035      -6.347  0.00179831
          18    -6.32363     -6.3457  0.00211561
          19    -6.35161    -6.34601  0.00202702
          20    -6.35643    -6.34653  0.00199148
