#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.940615    0.940615           0
           2    0.943376    0.941996 0.000976471
           3    0.942358    0.942116 0.000658398
           4     0.94187    0.942055 0.000496675
           5    0.943269    0.942298 0.000452883
           6    0.941455    0.942157 0.000398571
           7    0.942998    0.942277 0.000359269
           8    0.942211    0.942269 0.000314457
           9    0.942851    0.942334  0.00028609
          10    0.942637    0.942364  0.00025909
          11    0.941574    0.942292 0.000245283
          12     0.94245    0.942305 0.000225194
          13     0.94174    0.942262 0.000212025
          14    0.942392    0.942271 0.000197083
          15    0.943668    0.942364 0.000204766
          16    0.942426    0.942368 0.000192005
          17    0.941874    0.942339 0.000182894
          18    0.942554    0.942351 0.000173122
          19    0.941341    0.942298  0.00017198
          20     0.94167    0.942266 0.000166219
