#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -6.37759    -6.37759           0
           2    -6.32261     -6.3501   0.0194409
           3    -6.34316    -6.34779   0.0130974
           4    -6.35225     -6.3489  0.00987044
           5    -6.32555    -6.34423  0.00893355
           6    -6.36094    -6.34702  0.00786669
           7    -6.33078     -6.3447  0.00707644
           8    -6.34613    -6.34488  0.00619415
           9    -6.33288    -6.34354  0.00564759
          10     -6.3376    -6.34295  0.00511398
          11    -6.35804    -6.34432   0.0048296
          12     -6.3416    -6.34409  0.00443246
          13    -6.35498    -6.34493  0.00416988
          14    -6.34197    -6.34472  0.00387741
          15    -6.31692    -6.34287  0.00403776
          16     -6.3406    -6.34273  0.00378788
          17    -6.35208    -6.34328  0.00360485
          18    -6.33879    -6.34303  0.00341318
          19    -6.36316    -6.34409  0.00339403
          20    -6.35605    -6.34468  0.00327665
